[ AI-Rank-Log  4/ 8 18: 2: 7.412 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 18: 2:35.290 ]sampleid: 000000001532.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:35.461 ]sampleid: 000000001584.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:35.643 ]sampleid: 000000001675.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:35.798 ]sampleid: 000000001761.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:35.967 ]sampleid: 000000001818.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:36.131 ]sampleid: 000000001993.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:36.303 ]sampleid: 000000002006.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:36.481 ]sampleid: 000000002149.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:36.656 ]sampleid: 000000002153.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:36.842 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:37. 19 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:37.197 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:37.370 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:37.564 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:37.742 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:37.928 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:38. 93 ]sampleid: 000000002592.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:38.297 ]sampleid: 000000002685.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:38.484 ]sampleid: 000000002923.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:38.656 ]sampleid: 000000003156.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:38.849 ]sampleid: 000000003255.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:39. 28 ]sampleid: 000000003501.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:39.209 ]sampleid: 000000003553.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:39.381 ]sampleid: 000000003661.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:39.568 ]sampleid: 000000003845.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:39.736 ]sampleid: 000000003934.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:39.931 ]sampleid: 000000004134.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:40. 99 ]sampleid: 000000004395.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:40.289 ]sampleid: 000000004495.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:40.447 ]sampleid: 000000004765.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:40.641 ]sampleid: 000000004795.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:40.806 ]sampleid: 000000005001.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:41.  3 ]sampleid: 000000005037.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:41.185 ]sampleid: 000000005060.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:41.383 ]sampleid: 000000005193.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:41.576 ]sampleid: 000000005477.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:41.765 ]sampleid: 000000005503.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:41.949 ]sampleid: 000000005529.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:42.124 ]sampleid: 000000005586.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:42.301 ]sampleid: 000000005600.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:42.505 ]sampleid: 000000005992.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:42.703 ]sampleid: 000000006012.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:42.908 ]sampleid: 000000006040.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:43.102 ]sampleid: 000000006213.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:43.300 ]sampleid: 000000006460.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:43.489 ]sampleid: 000000006471.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:43.661 ]sampleid: 000000006614.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:43.865 ]sampleid: 000000006723.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:44. 58 ]sampleid: 000000006763.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:44.260 ]sampleid: 000000006771.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:44.459 ]sampleid: 000000006818.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:44.661 ]sampleid: 000000006894.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:44.876 ]sampleid: 000000006954.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:45. 74 ]sampleid: 000000007088.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:45.266 ]sampleid: 000000007108.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:45.450 ]sampleid: 000000007278.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:45.649 ]sampleid: 000000007281.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:45.813 ]sampleid: 000000007386.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:45.964 ]sampleid: 000000007511.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:46.135 ]sampleid: 000000007574.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:46.352 ]sampleid: 000000007784.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:46.549 ]sampleid: 000000007795.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:46.750 ]sampleid: 000000007816.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:46.954 ]sampleid: 000000007818.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:47.153 ]sampleid: 000000007888.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:47.355 ]sampleid: 000000007977.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:47.552 ]sampleid: 000000007991.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:47.754 ]sampleid: 000000008021.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:47.963 ]sampleid: 000000008211.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:48.164 ]sampleid: 000000008277.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:48.357 ]sampleid: 000000008532.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:48.561 ]sampleid: 000000008629.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:48.762 ]sampleid: 000000008690.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:48.957 ]sampleid: 000000008762.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:49.153 ]sampleid: 000000008844.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:49.366 ]sampleid: 000000008899.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:49.556 ]sampleid: 000000009378.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:49.756 ]sampleid: 000000009400.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:49.970 ]sampleid: 000000009448.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:50.164 ]sampleid: 000000009483.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:50.366 ]sampleid: 000000009590.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:50.570 ]sampleid: 000000009769.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:50.775 ]sampleid: 000000009772.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:50.969 ]sampleid: 000000009891.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:51.163 ]sampleid: 000000009914.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:51.361 ]sampleid: 000000010092.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:51.556 ]sampleid: 000000010363.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:51.770 ]sampleid: 000000010583.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:51.965 ]sampleid: 000000010707.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:52.166 ]sampleid: 000000010764.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:52.355 ]sampleid: 000000010977.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:52.556 ]sampleid: 000000010995.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:52.765 ]sampleid: 000000011051.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:52.978 ]sampleid: 000000011122.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:53.190 ]sampleid: 000000011149.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:53.403 ]sampleid: 000000011197.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:53.606 ]sampleid: 000000011511.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:53.796 ]sampleid: 000000011615.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:54.  2 ]sampleid: 000000011699.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:54.208 ]sampleid: 000000011760.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:54.396 ]sampleid: 000000011813.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:54.603 ]sampleid: 000000012062.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:54.808 ]sampleid: 000000012120.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:55. 10 ]sampleid: 000000012280.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:55.215 ]sampleid: 000000012576.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:55.444 ]sampleid: 000000012639.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:55.645 ]sampleid: 000000012667.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:55.849 ]sampleid: 000000012670.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:56. 53 ]sampleid: 000000012748.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:56.272 ]sampleid: 000000013004.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:56.485 ]sampleid: 000000013177.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:56.690 ]sampleid: 000000013201.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:56.893 ]sampleid: 000000013291.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:57.122 ]sampleid: 000000013348.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:57.330 ]sampleid: 000000013546.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:57.530 ]sampleid: 000000013597.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:57.738 ]sampleid: 000000013659.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:57.966 ]sampleid: 000000013729.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:58.179 ]sampleid: 000000013774.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:58.411 ]sampleid: 000000013923.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:58.615 ]sampleid: 000000014007.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:58.846 ]sampleid: 000000014038.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:59. 54 ]sampleid: 000000014226.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:59.286 ]sampleid: 000000014380.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:59.497 ]sampleid: 000000014439.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:59.727 ]sampleid: 000000014473.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 2:59.945 ]sampleid: 000000014831.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 0.173 ]sampleid: 000000014888.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 0.402 ]sampleid: 000000015079.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 0.613 ]sampleid: 000000015254.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 0.862 ]sampleid: 000000015272.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 1. 89 ]sampleid: 000000015278.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 1.301 ]sampleid: 000000015335.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 1.531 ]sampleid: 000000015338.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 1.740 ]sampleid: 000000015440.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 1.969 ]sampleid: 000000015497.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 2.184 ]sampleid: 000000015517.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 2.411 ]sampleid: 000000015597.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 2.619 ]sampleid: 000000015660.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 2.852 ]sampleid: 000000015746.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 3. 61 ]sampleid: 000000015751.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 3.291 ]sampleid: 000000015956.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 3.507 ]sampleid: 000000016010.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 3.739 ]sampleid: 000000016228.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 3.968 ]sampleid: 000000016249.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 4.181 ]sampleid: 000000016439.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 4.425 ]sampleid: 000000016451.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 4.650 ]sampleid: 000000016502.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 4.871 ]sampleid: 000000016598.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 5.100 ]sampleid: 000000016958.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 5.348 ]sampleid: 000000017029.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 5.570 ]sampleid: 000000017031.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 5.798 ]sampleid: 000000017115.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 6. 25 ]sampleid: 000000017178.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 6.257 ]sampleid: 000000017182.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 6.500 ]sampleid: 000000017207.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 6.741 ]sampleid: 000000017379.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 6.981 ]sampleid: 000000017436.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 7.223 ]sampleid: 000000017627.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 7.461 ]sampleid: 000000017714.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 7.705 ]sampleid: 000000017899.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 7.922 ]sampleid: 000000017905.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 8.140 ]sampleid: 000000017959.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 8.382 ]sampleid: 000000018150.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 8.623 ]sampleid: 000000018193.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 8.866 ]sampleid: 000000018380.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 9.103 ]sampleid: 000000018491.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 9.347 ]sampleid: 000000018519.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 9.590 ]sampleid: 000000018575.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3: 9.813 ]sampleid: 000000018737.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:10. 50 ]sampleid: 000000018770.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:10.267 ]sampleid: 000000018833.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:10.510 ]sampleid: 000000018837.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:10.749 ]sampleid: 000000019042.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:10.991 ]sampleid: 000000019109.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:11.226 ]sampleid: 000000019221.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:11.467 ]sampleid: 000000019402.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:11.713 ]sampleid: 000000019432.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:11.953 ]sampleid: 000000019742.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:12.182 ]sampleid: 000000019786.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:12.430 ]sampleid: 000000019924.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:12.674 ]sampleid: 000000020059.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:12.913 ]sampleid: 000000020107.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:13.152 ]sampleid: 000000020247.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:13.364 ]sampleid: 000000020333.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:13.587 ]sampleid: 000000020553.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:13.831 ]sampleid: 000000020571.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:14. 62 ]sampleid: 000000020992.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:14.311 ]sampleid: 000000021167.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:14.545 ]sampleid: 000000021465.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:14.789 ]sampleid: 000000021503.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:15. 32 ]sampleid: 000000021604.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:15.280 ]sampleid: 000000021839.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:15.529 ]sampleid: 000000021879.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:15.764 ]sampleid: 000000021903.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:15.996 ]sampleid: 000000022192.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:16.221 ]sampleid: 000000022371.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:16.472 ]sampleid: 000000022396.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:16.719 ]sampleid: 000000022479.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:16.964 ]sampleid: 000000022589.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:17.197 ]sampleid: 000000022623.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:17.443 ]sampleid: 000000022705.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:17.681 ]sampleid: 000000022755.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:17.913 ]sampleid: 000000022892.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:18.164 ]sampleid: 000000022935.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:18.398 ]sampleid: 000000022969.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:18.641 ]sampleid: 000000023023.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:18.889 ]sampleid: 000000023034.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:19.118 ]sampleid: 000000023126.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:19.370 ]sampleid: 000000023230.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:19.596 ]sampleid: 000000023272.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:19.828 ]sampleid: 000000023359.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:20. 79 ]sampleid: 000000023666.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:20.320 ]sampleid: 000000023751.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:20.560 ]sampleid: 000000023781.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:20.801 ]sampleid: 000000023899.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:21. 44 ]sampleid: 000000023937.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:21.280 ]sampleid: 000000024021.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:21.517 ]sampleid: 000000024027.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:21.773 ]sampleid: 000000024144.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:22. 22 ]sampleid: 000000024243.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:22.283 ]sampleid: 000000024567.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:22.530 ]sampleid: 000000024610.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:22.770 ]sampleid: 000000024919.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:23. 10 ]sampleid: 000000025057.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:23.242 ]sampleid: 000000025096.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:23.478 ]sampleid: 000000025139.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:23.723 ]sampleid: 000000025181.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:23.974 ]sampleid: 000000025228.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:24.238 ]sampleid: 000000025386.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:24.489 ]sampleid: 000000025393.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:24.730 ]sampleid: 000000025394.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:24.978 ]sampleid: 000000025424.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:25.246 ]sampleid: 000000025560.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:25.500 ]sampleid: 000000025593.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:25.769 ]sampleid: 000000025603.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:26. 19 ]sampleid: 000000025986.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:26.285 ]sampleid: 000000026204.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:26.522 ]sampleid: 000000026465.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:26.770 ]sampleid: 000000026564.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:27. 16 ]sampleid: 000000026690.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:27.283 ]sampleid: 000000026926.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:27.535 ]sampleid: 000000026941.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:27.800 ]sampleid: 000000027186.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:28. 51 ]sampleid: 000000027620.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:28.295 ]sampleid: 000000027696.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:28.571 ]sampleid: 000000027768.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:28.817 ]sampleid: 000000027932.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:29. 63 ]sampleid: 000000027972.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:29.319 ]sampleid: 000000027982.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:29.578 ]sampleid: 000000028285.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:29.844 ]sampleid: 000000028449.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:30. 99 ]sampleid: 000000028452.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:30.364 ]sampleid: 000000028809.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:30.634 ]sampleid: 000000028993.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:30.903 ]sampleid: 000000029187.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:31.166 ]sampleid: 000000029393.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:31.417 ]sampleid: 000000029397.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:31.675 ]sampleid: 000000029596.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:31.938 ]sampleid: 000000029640.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:32.212 ]sampleid: 000000029675.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:32.491 ]sampleid: 000000029984.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:32.746 ]sampleid: 000000030213.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:33. 19 ]sampleid: 000000030494.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:33.295 ]sampleid: 000000030504.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:33.569 ]sampleid: 000000030675.jpg, result=true
[ AI-Rank-Log  4/ 8 18: 3:33.810 ]sampleid: 000000030785.jpg, result=true
