[ AI-Rank-Log  4/ 7 11:57:35.171 ]load_data, checksum: 442b8da7639aecaf257c1dceb8ba8c8
[ AI-Rank-Log  4/ 7 11:57:41.349 ]sampleid: 000000003501.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:41.424 ]sampleid: 000000003553.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:41.494 ]sampleid: 000000003661.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:41.568 ]sampleid: 000000003845.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:41.642 ]sampleid: 000000003934.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:41.708 ]sampleid: 000000004134.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:41.781 ]sampleid: 000000004395.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:41.848 ]sampleid: 000000004495.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:41.928 ]sampleid: 000000004765.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:42.  9 ]sampleid: 000000004795.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:42. 88 ]sampleid: 000000005001.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:42.167 ]sampleid: 000000005037.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:42.250 ]sampleid: 000000005060.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:42.329 ]sampleid: 000000005193.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:42.414 ]sampleid: 000000005477.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:42.528 ]sampleid: 000000005503.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:42.650 ]sampleid: 000000005529.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:42.744 ]sampleid: 000000005586.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:42.852 ]sampleid: 000000005600.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:42.965 ]sampleid: 000000005992.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:43. 79 ]sampleid: 000000006012.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:43.188 ]sampleid: 000000006040.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:43.298 ]sampleid: 000000006213.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:43.409 ]sampleid: 000000006460.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:43.514 ]sampleid: 000000006471.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:43.620 ]sampleid: 000000006614.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:43.735 ]sampleid: 000000006723.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:43.845 ]sampleid: 000000006763.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:43.959 ]sampleid: 000000006771.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:44. 74 ]sampleid: 000000006818.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:44.192 ]sampleid: 000000006894.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:44.318 ]sampleid: 000000006954.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:44.452 ]sampleid: 000000007088.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:44.578 ]sampleid: 000000007108.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:44.709 ]sampleid: 000000007278.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:44.827 ]sampleid: 000000007281.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:44.944 ]sampleid: 000000007386.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:45. 27 ]sampleid: 000000007511.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:45.108 ]sampleid: 000000007574.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:45.178 ]sampleid: 000000007784.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:45.264 ]sampleid: 000000007795.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:45.348 ]sampleid: 000000007816.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:45.428 ]sampleid: 000000007818.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:45.508 ]sampleid: 000000007888.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:45.588 ]sampleid: 000000007977.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:45.667 ]sampleid: 000000007991.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:45.748 ]sampleid: 000000008021.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:45.828 ]sampleid: 000000008211.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:45.908 ]sampleid: 000000008277.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:45.984 ]sampleid: 000000008532.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:46. 68 ]sampleid: 000000008629.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:46.146 ]sampleid: 000000008690.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:46.227 ]sampleid: 000000008762.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:46.308 ]sampleid: 000000008844.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:46.404 ]sampleid: 000000008899.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:46.488 ]sampleid: 000000009378.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:46.571 ]sampleid: 000000009400.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:46.663 ]sampleid: 000000009448.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:46.747 ]sampleid: 000000009483.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:46.832 ]sampleid: 000000009590.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:46.928 ]sampleid: 000000009769.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:47. 24 ]sampleid: 000000009772.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:47.107 ]sampleid: 000000009891.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:47.199 ]sampleid: 000000009914.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:47.287 ]sampleid: 000000010092.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:47.382 ]sampleid: 000000010363.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:47.467 ]sampleid: 000000010583.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:47.554 ]sampleid: 000000010707.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:47.643 ]sampleid: 000000010764.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:47.723 ]sampleid: 000000010977.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:47.811 ]sampleid: 000000010995.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:47.908 ]sampleid: 000000011051.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:48.  7 ]sampleid: 000000011122.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:48. 98 ]sampleid: 000000011149.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:48.187 ]sampleid: 000000011197.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:48.288 ]sampleid: 000000011511.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:48.382 ]sampleid: 000000011615.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:48.467 ]sampleid: 000000011699.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:48.564 ]sampleid: 000000011760.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:48.651 ]sampleid: 000000011813.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:48.743 ]sampleid: 000000012062.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:48.828 ]sampleid: 000000012120.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:48.925 ]sampleid: 000000012280.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:49. 24 ]sampleid: 000000012576.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:49.123 ]sampleid: 000000012639.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:49.207 ]sampleid: 000000012667.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:49.288 ]sampleid: 000000012670.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:49.386 ]sampleid: 000000012748.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:49.484 ]sampleid: 000000013004.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:49.583 ]sampleid: 000000013177.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:49.668 ]sampleid: 000000013201.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:49.756 ]sampleid: 000000013291.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:49.848 ]sampleid: 000000013348.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:49.944 ]sampleid: 000000013546.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:50. 35 ]sampleid: 000000013597.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:50.134 ]sampleid: 000000013659.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:50.228 ]sampleid: 000000013729.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:50.328 ]sampleid: 000000013774.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:50.426 ]sampleid: 000000013923.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:50.525 ]sampleid: 000000014007.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:50.624 ]sampleid: 000000014038.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:50.708 ]sampleid: 000000014226.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:50.798 ]sampleid: 000000014380.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:50.887 ]sampleid: 000000014439.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:50.984 ]sampleid: 000000014473.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:51. 85 ]sampleid: 000000014831.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:51.187 ]sampleid: 000000014888.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:51.286 ]sampleid: 000000015079.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:51.385 ]sampleid: 000000015254.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:51.487 ]sampleid: 000000015272.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:51.586 ]sampleid: 000000015278.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:51.686 ]sampleid: 000000015335.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:51.788 ]sampleid: 000000015338.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:51.889 ]sampleid: 000000015440.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:51.986 ]sampleid: 000000015497.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:52. 87 ]sampleid: 000000015517.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:52.193 ]sampleid: 000000015597.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:52.288 ]sampleid: 000000015660.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:52.389 ]sampleid: 000000015746.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:52.481 ]sampleid: 000000015751.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:52.580 ]sampleid: 000000015956.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:52.677 ]sampleid: 000000016010.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:52.775 ]sampleid: 000000016228.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:52.869 ]sampleid: 000000016249.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:52.967 ]sampleid: 000000016439.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:53. 69 ]sampleid: 000000016451.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:53.168 ]sampleid: 000000016502.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:53.276 ]sampleid: 000000016598.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:53.369 ]sampleid: 000000016958.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:53.466 ]sampleid: 000000017029.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:53.564 ]sampleid: 000000017031.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:53.671 ]sampleid: 000000017115.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:53.769 ]sampleid: 000000017178.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:53.868 ]sampleid: 000000017182.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:53.969 ]sampleid: 000000017207.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:54. 64 ]sampleid: 000000017379.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:54.170 ]sampleid: 000000017436.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:54.278 ]sampleid: 000000017627.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:54.380 ]sampleid: 000000017714.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:54.485 ]sampleid: 000000017899.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:54.588 ]sampleid: 000000017905.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:54.683 ]sampleid: 000000017959.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:54.784 ]sampleid: 000000018150.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:54.888 ]sampleid: 000000018193.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:54.989 ]sampleid: 000000018380.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:55. 86 ]sampleid: 000000018491.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:55.189 ]sampleid: 000000018519.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:55.285 ]sampleid: 000000018575.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:55.390 ]sampleid: 000000018737.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:55.488 ]sampleid: 000000018770.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:55.588 ]sampleid: 000000018833.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:55.699 ]sampleid: 000000018837.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:55.805 ]sampleid: 000000019042.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:55.916 ]sampleid: 000000019109.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:56. 21 ]sampleid: 000000019221.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:56.124 ]sampleid: 000000019402.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:56.243 ]sampleid: 000000019432.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:56.342 ]sampleid: 000000019742.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:56.439 ]sampleid: 000000019786.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:56.542 ]sampleid: 000000019924.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:56.647 ]sampleid: 000000020059.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:56.752 ]sampleid: 000000020107.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:56.865 ]sampleid: 000000020247.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:56.972 ]sampleid: 000000020333.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:57. 77 ]sampleid: 000000020553.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:57.188 ]sampleid: 000000020571.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:57.292 ]sampleid: 000000020992.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:57.398 ]sampleid: 000000021167.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:57.500 ]sampleid: 000000021465.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:57.598 ]sampleid: 000000021503.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:57.703 ]sampleid: 000000021604.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:57.808 ]sampleid: 000000021839.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:57.919 ]sampleid: 000000021879.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:58. 26 ]sampleid: 000000021903.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:58.140 ]sampleid: 000000022192.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:58.237 ]sampleid: 000000022371.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:58.347 ]sampleid: 000000022396.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:58.460 ]sampleid: 000000022479.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:58.565 ]sampleid: 000000022589.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:58.668 ]sampleid: 000000022623.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:58.767 ]sampleid: 000000022705.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:58.884 ]sampleid: 000000022755.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:58.991 ]sampleid: 000000022892.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:59. 87 ]sampleid: 000000022935.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:59.193 ]sampleid: 000000022969.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:59.306 ]sampleid: 000000023023.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:59.423 ]sampleid: 000000023034.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:59.528 ]sampleid: 000000023126.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:59.646 ]sampleid: 000000023230.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:59.758 ]sampleid: 000000023272.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:59.864 ]sampleid: 000000023359.jpg, result=true
[ AI-Rank-Log  4/ 7 11:57:59.967 ]sampleid: 000000023666.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 0. 83 ]sampleid: 000000023751.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 0.187 ]sampleid: 000000023781.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 0.301 ]sampleid: 000000023899.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 0.413 ]sampleid: 000000023937.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 0.524 ]sampleid: 000000024021.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 0.629 ]sampleid: 000000024027.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 0.747 ]sampleid: 000000024144.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 0.866 ]sampleid: 000000024243.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 0.986 ]sampleid: 000000024567.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 1.104 ]sampleid: 000000024610.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 1.225 ]sampleid: 000000024919.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 1.344 ]sampleid: 000000025057.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 1.452 ]sampleid: 000000025096.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 1.553 ]sampleid: 000000025139.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 1.666 ]sampleid: 000000025181.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 1.784 ]sampleid: 000000025228.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 1.904 ]sampleid: 000000025386.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 2. 23 ]sampleid: 000000025393.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 2.132 ]sampleid: 000000025394.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 2.247 ]sampleid: 000000025424.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 2.366 ]sampleid: 000000025560.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 2.488 ]sampleid: 000000025593.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 2.607 ]sampleid: 000000025603.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 2.729 ]sampleid: 000000025986.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 2.846 ]sampleid: 000000026204.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 2.957 ]sampleid: 000000026465.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 3. 65 ]sampleid: 000000026564.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 3.185 ]sampleid: 000000026690.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 3.306 ]sampleid: 000000026926.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 3.427 ]sampleid: 000000026941.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 3.545 ]sampleid: 000000027186.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 3.665 ]sampleid: 000000027620.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 3.786 ]sampleid: 000000027696.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 3.909 ]sampleid: 000000027768.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 4. 23 ]sampleid: 000000027932.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 4.147 ]sampleid: 000000027972.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 4.266 ]sampleid: 000000027982.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 4.386 ]sampleid: 000000028285.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 4.506 ]sampleid: 000000028449.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 4.625 ]sampleid: 000000028452.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 4.743 ]sampleid: 000000028809.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 4.864 ]sampleid: 000000028993.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 4.988 ]sampleid: 000000029187.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 5. 99 ]sampleid: 000000029393.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 5.226 ]sampleid: 000000029397.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 5.346 ]sampleid: 000000029596.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 5.468 ]sampleid: 000000029640.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 5.583 ]sampleid: 000000029675.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 5.706 ]sampleid: 000000029984.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 5.826 ]sampleid: 000000030213.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 5.947 ]sampleid: 000000030494.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 6. 66 ]sampleid: 000000030504.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 6.187 ]sampleid: 000000030675.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 6.307 ]sampleid: 000000030785.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 6.431 ]sampleid: 000000030828.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 6.540 ]sampleid: 000000031050.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 6.657 ]sampleid: 000000031093.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 6.778 ]sampleid: 000000031118.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 6.898 ]sampleid: 000000031217.jpg, result=true
[ AI-Rank-Log  4/ 7 11:58: 7. 13 ]sampleid: 000000031248.jpg, result=true
