[ AI-Rank-Log  2/ 1  5:38:10.903 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  2/ 1  5:38:39.163 ]sampleid: 000000002157.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:39.345 ]sampleid: 000000002261.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:39.523 ]sampleid: 000000002299.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:39.705 ]sampleid: 000000002431.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:39.885 ]sampleid: 000000002473.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:40. 70 ]sampleid: 000000002532.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:40.247 ]sampleid: 000000002587.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:40.426 ]sampleid: 000000002592.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:40.612 ]sampleid: 000000002685.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:40.793 ]sampleid: 000000002923.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:40.976 ]sampleid: 000000003156.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:41.158 ]sampleid: 000000003255.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:41.343 ]sampleid: 000000003501.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:41.525 ]sampleid: 000000003553.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:41.705 ]sampleid: 000000003661.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:41.887 ]sampleid: 000000003845.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:42. 69 ]sampleid: 000000003934.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:42.253 ]sampleid: 000000004134.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:42.434 ]sampleid: 000000004395.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:42.616 ]sampleid: 000000004495.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:42.802 ]sampleid: 000000004765.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:42.988 ]sampleid: 000000004795.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:43.176 ]sampleid: 000000005001.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:43.363 ]sampleid: 000000005037.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:43.551 ]sampleid: 000000005060.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:43.736 ]sampleid: 000000005193.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:43.921 ]sampleid: 000000005477.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:44.102 ]sampleid: 000000005503.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:44.293 ]sampleid: 000000005529.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:44.473 ]sampleid: 000000005586.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:44.659 ]sampleid: 000000005600.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:44.847 ]sampleid: 000000005992.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:45. 36 ]sampleid: 000000006012.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:45.224 ]sampleid: 000000006040.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:45.411 ]sampleid: 000000006213.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:45.598 ]sampleid: 000000006460.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:45.784 ]sampleid: 000000006471.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:45.968 ]sampleid: 000000006614.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:46.158 ]sampleid: 000000006723.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:46.344 ]sampleid: 000000006763.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:46.533 ]sampleid: 000000006771.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:46.723 ]sampleid: 000000006818.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:46.912 ]sampleid: 000000006894.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:47.105 ]sampleid: 000000006954.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:47.300 ]sampleid: 000000007088.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:47.491 ]sampleid: 000000007108.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:47.687 ]sampleid: 000000007278.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:47.877 ]sampleid: 000000007281.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:48. 69 ]sampleid: 000000007386.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:48.261 ]sampleid: 000000007511.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:48.455 ]sampleid: 000000007574.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:48.643 ]sampleid: 000000007784.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:48.836 ]sampleid: 000000007795.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:49. 29 ]sampleid: 000000007816.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:49.221 ]sampleid: 000000007818.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:49.416 ]sampleid: 000000007888.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:49.613 ]sampleid: 000000007977.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:49.807 ]sampleid: 000000007991.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:50.  3 ]sampleid: 000000008021.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:50.200 ]sampleid: 000000008211.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:50.400 ]sampleid: 000000008277.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:50.594 ]sampleid: 000000008532.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:50.792 ]sampleid: 000000008629.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:50.990 ]sampleid: 000000008690.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:51.184 ]sampleid: 000000008762.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:51.379 ]sampleid: 000000008844.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:51.580 ]sampleid: 000000008899.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:51.776 ]sampleid: 000000009378.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:51.970 ]sampleid: 000000009400.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:52.176 ]sampleid: 000000009448.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:52.372 ]sampleid: 000000009483.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:52.570 ]sampleid: 000000009590.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:52.774 ]sampleid: 000000009769.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:52.978 ]sampleid: 000000009772.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:53.176 ]sampleid: 000000009891.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:53.374 ]sampleid: 000000009914.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:53.574 ]sampleid: 000000010092.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:53.769 ]sampleid: 000000010363.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:53.972 ]sampleid: 000000010583.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:54.170 ]sampleid: 000000010707.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:54.370 ]sampleid: 000000010764.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:54.567 ]sampleid: 000000010977.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:54.763 ]sampleid: 000000010995.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:54.962 ]sampleid: 000000011051.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:55.167 ]sampleid: 000000011122.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:55.367 ]sampleid: 000000011149.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:55.570 ]sampleid: 000000011197.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:55.772 ]sampleid: 000000011511.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:55.974 ]sampleid: 000000011615.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:56.179 ]sampleid: 000000011699.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:56.384 ]sampleid: 000000011760.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:56.582 ]sampleid: 000000011813.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:56.786 ]sampleid: 000000012062.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:56.988 ]sampleid: 000000012120.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:57.193 ]sampleid: 000000012280.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:57.400 ]sampleid: 000000012576.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:57.610 ]sampleid: 000000012639.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:57.812 ]sampleid: 000000012667.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:58. 17 ]sampleid: 000000012670.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:58.225 ]sampleid: 000000012748.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:58.429 ]sampleid: 000000013004.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:58.634 ]sampleid: 000000013177.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:58.840 ]sampleid: 000000013201.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:59. 43 ]sampleid: 000000013291.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:59.252 ]sampleid: 000000013348.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:59.458 ]sampleid: 000000013546.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:59.662 ]sampleid: 000000013597.jpg, result=true
[ AI-Rank-Log  2/ 1  5:38:59.872 ]sampleid: 000000013659.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 0. 80 ]sampleid: 000000013729.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 0.290 ]sampleid: 000000013774.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 0.499 ]sampleid: 000000013923.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 0.704 ]sampleid: 000000014007.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 0.913 ]sampleid: 000000014038.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 1.120 ]sampleid: 000000014226.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 1.329 ]sampleid: 000000014380.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 1.539 ]sampleid: 000000014439.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 1.748 ]sampleid: 000000014473.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 1.959 ]sampleid: 000000014831.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 2.170 ]sampleid: 000000014888.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 2.377 ]sampleid: 000000015079.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 2.584 ]sampleid: 000000015254.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 2.801 ]sampleid: 000000015272.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 3. 11 ]sampleid: 000000015278.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 3.223 ]sampleid: 000000015335.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 3.436 ]sampleid: 000000015338.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 3.647 ]sampleid: 000000015440.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 3.855 ]sampleid: 000000015497.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 4. 69 ]sampleid: 000000015517.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 4.282 ]sampleid: 000000015597.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 4.492 ]sampleid: 000000015660.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 4.706 ]sampleid: 000000015746.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 4.917 ]sampleid: 000000015751.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 5.132 ]sampleid: 000000015956.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 5.348 ]sampleid: 000000016010.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 5.563 ]sampleid: 000000016228.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 5.774 ]sampleid: 000000016249.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 5.985 ]sampleid: 000000016439.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 6.204 ]sampleid: 000000016451.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 6.416 ]sampleid: 000000016502.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 6.635 ]sampleid: 000000016598.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 6.850 ]sampleid: 000000016958.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 7. 74 ]sampleid: 000000017029.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 7.286 ]sampleid: 000000017031.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 7.509 ]sampleid: 000000017115.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 7.726 ]sampleid: 000000017178.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 7.940 ]sampleid: 000000017182.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 8.157 ]sampleid: 000000017207.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 8.378 ]sampleid: 000000017379.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 8.595 ]sampleid: 000000017436.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 8.815 ]sampleid: 000000017627.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 9. 33 ]sampleid: 000000017714.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 9.255 ]sampleid: 000000017899.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 9.476 ]sampleid: 000000017905.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 9.693 ]sampleid: 000000017959.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39: 9.914 ]sampleid: 000000018150.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:10.132 ]sampleid: 000000018193.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:10.354 ]sampleid: 000000018380.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:10.573 ]sampleid: 000000018491.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:10.797 ]sampleid: 000000018519.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:11. 16 ]sampleid: 000000018575.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:11.237 ]sampleid: 000000018737.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:11.456 ]sampleid: 000000018770.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:11.675 ]sampleid: 000000018833.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:11.899 ]sampleid: 000000018837.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:12.122 ]sampleid: 000000019042.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:12.346 ]sampleid: 000000019109.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:12.566 ]sampleid: 000000019221.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:12.789 ]sampleid: 000000019402.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:13. 14 ]sampleid: 000000019432.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:13.234 ]sampleid: 000000019742.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:13.453 ]sampleid: 000000019786.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:13.675 ]sampleid: 000000019924.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:13.901 ]sampleid: 000000020059.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:14.122 ]sampleid: 000000020107.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:14.347 ]sampleid: 000000020247.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:14.571 ]sampleid: 000000020333.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:14.794 ]sampleid: 000000020553.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:15. 23 ]sampleid: 000000020571.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:15.244 ]sampleid: 000000020992.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:15.466 ]sampleid: 000000021167.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:15.689 ]sampleid: 000000021465.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:15.914 ]sampleid: 000000021503.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:16.140 ]sampleid: 000000021604.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:16.372 ]sampleid: 000000021839.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:16.601 ]sampleid: 000000021879.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:16.830 ]sampleid: 000000021903.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:17. 54 ]sampleid: 000000022192.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:17.275 ]sampleid: 000000022371.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:17.508 ]sampleid: 000000022396.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:17.739 ]sampleid: 000000022479.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:17.971 ]sampleid: 000000022589.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:18.198 ]sampleid: 000000022623.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:18.426 ]sampleid: 000000022705.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:18.656 ]sampleid: 000000022755.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:18.882 ]sampleid: 000000022892.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:19.111 ]sampleid: 000000022935.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:19.342 ]sampleid: 000000022969.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:19.577 ]sampleid: 000000023023.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:19.810 ]sampleid: 000000023034.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:20. 36 ]sampleid: 000000023126.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:20.275 ]sampleid: 000000023230.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:20.502 ]sampleid: 000000023272.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:20.730 ]sampleid: 000000023359.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:20.962 ]sampleid: 000000023666.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:21.194 ]sampleid: 000000023751.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:21.426 ]sampleid: 000000023781.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:21.655 ]sampleid: 000000023899.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:21.888 ]sampleid: 000000023937.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:22.118 ]sampleid: 000000024021.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:22.347 ]sampleid: 000000024027.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:22.587 ]sampleid: 000000024144.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:22.824 ]sampleid: 000000024243.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:23. 60 ]sampleid: 000000024567.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:23.294 ]sampleid: 000000024610.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:23.528 ]sampleid: 000000024919.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:23.764 ]sampleid: 000000025057.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:23.997 ]sampleid: 000000025096.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:24.229 ]sampleid: 000000025139.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:24.464 ]sampleid: 000000025181.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:24.701 ]sampleid: 000000025228.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:24.939 ]sampleid: 000000025386.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:25.175 ]sampleid: 000000025393.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:25.410 ]sampleid: 000000025394.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:25.645 ]sampleid: 000000025424.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:25.880 ]sampleid: 000000025560.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:26.122 ]sampleid: 000000025593.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:26.360 ]sampleid: 000000025603.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:26.599 ]sampleid: 000000025986.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:26.838 ]sampleid: 000000026204.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:27. 71 ]sampleid: 000000026465.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:27.307 ]sampleid: 000000026564.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:27.547 ]sampleid: 000000026690.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:27.785 ]sampleid: 000000026926.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:28. 25 ]sampleid: 000000026941.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:28.262 ]sampleid: 000000027186.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:28.501 ]sampleid: 000000027620.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:28.740 ]sampleid: 000000027696.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:28.984 ]sampleid: 000000027768.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:29.219 ]sampleid: 000000027932.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:29.465 ]sampleid: 000000027972.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:29.702 ]sampleid: 000000027982.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:29.947 ]sampleid: 000000028285.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:30.187 ]sampleid: 000000028449.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:30.432 ]sampleid: 000000028452.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:30.672 ]sampleid: 000000028809.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:30.920 ]sampleid: 000000028993.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:31.166 ]sampleid: 000000029187.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:31.408 ]sampleid: 000000029393.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:31.652 ]sampleid: 000000029397.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:31.896 ]sampleid: 000000029596.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:32.140 ]sampleid: 000000029640.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:32.386 ]sampleid: 000000029675.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:32.632 ]sampleid: 000000029984.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:32.880 ]sampleid: 000000030213.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:33.127 ]sampleid: 000000030494.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:33.374 ]sampleid: 000000030504.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:33.620 ]sampleid: 000000030675.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:33.866 ]sampleid: 000000030785.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:34.113 ]sampleid: 000000030828.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:34.361 ]sampleid: 000000031050.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:34.606 ]sampleid: 000000031093.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:34.855 ]sampleid: 000000031118.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:35.103 ]sampleid: 000000031217.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:35.346 ]sampleid: 000000031248.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:35.595 ]sampleid: 000000031269.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:35.844 ]sampleid: 000000031296.jpg, result=true
[ AI-Rank-Log  2/ 1  5:39:36. 97 ]sampleid: 000000031322.jpg, result=true
