[ AI-Rank-Log  4/ 7 14:29:16.191 ]load_data, checksum: 442b8da7639aecaf257c1dceb8ba8c8
[ AI-Rank-Log  4/ 7 14:29:24.803 ]sampleid: 000000008021.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:24.899 ]sampleid: 000000008211.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:24.988 ]sampleid: 000000008277.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:25. 82 ]sampleid: 000000008532.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:25.174 ]sampleid: 000000008629.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:25.266 ]sampleid: 000000008690.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:25.359 ]sampleid: 000000008762.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:25.443 ]sampleid: 000000008844.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:25.538 ]sampleid: 000000008899.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:25.620 ]sampleid: 000000009378.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:25.708 ]sampleid: 000000009400.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:25.804 ]sampleid: 000000009448.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:25.902 ]sampleid: 000000009483.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:25.994 ]sampleid: 000000009590.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:26. 84 ]sampleid: 000000009769.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:26.178 ]sampleid: 000000009772.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:26.269 ]sampleid: 000000009891.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:26.359 ]sampleid: 000000009914.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:26.450 ]sampleid: 000000010092.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:26.540 ]sampleid: 000000010363.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:26.631 ]sampleid: 000000010583.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:26.723 ]sampleid: 000000010707.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:26.819 ]sampleid: 000000010764.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:26.900 ]sampleid: 000000010977.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:26.991 ]sampleid: 000000010995.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:27. 86 ]sampleid: 000000011051.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:27.180 ]sampleid: 000000011122.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:27.266 ]sampleid: 000000011149.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:27.362 ]sampleid: 000000011197.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:27.456 ]sampleid: 000000011511.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:27.548 ]sampleid: 000000011615.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:27.646 ]sampleid: 000000011699.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:27.744 ]sampleid: 000000011760.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:27.831 ]sampleid: 000000011813.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:27.926 ]sampleid: 000000012062.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:28. 25 ]sampleid: 000000012120.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:28.125 ]sampleid: 000000012280.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:28.225 ]sampleid: 000000012576.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:28.326 ]sampleid: 000000012639.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:28.420 ]sampleid: 000000012667.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:28.516 ]sampleid: 000000012670.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:28.608 ]sampleid: 000000012748.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:28.700 ]sampleid: 000000013004.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:28.794 ]sampleid: 000000013177.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:28.884 ]sampleid: 000000013201.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:28.979 ]sampleid: 000000013291.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:29. 73 ]sampleid: 000000013348.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:29.168 ]sampleid: 000000013546.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:29.265 ]sampleid: 000000013597.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:29.365 ]sampleid: 000000013659.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:29.465 ]sampleid: 000000013729.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:29.566 ]sampleid: 000000013774.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:29.666 ]sampleid: 000000013923.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:29.764 ]sampleid: 000000014007.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:29.866 ]sampleid: 000000014038.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:29.964 ]sampleid: 000000014226.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:30. 67 ]sampleid: 000000014380.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:30.168 ]sampleid: 000000014439.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:30.265 ]sampleid: 000000014473.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:30.368 ]sampleid: 000000014831.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:30.470 ]sampleid: 000000014888.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:30.566 ]sampleid: 000000015079.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:30.665 ]sampleid: 000000015254.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:30.768 ]sampleid: 000000015272.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:30.866 ]sampleid: 000000015278.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:30.967 ]sampleid: 000000015335.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:31. 70 ]sampleid: 000000015338.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:31.170 ]sampleid: 000000015440.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:31.271 ]sampleid: 000000015497.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:31.371 ]sampleid: 000000015517.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:31.470 ]sampleid: 000000015597.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:31.567 ]sampleid: 000000015660.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:31.670 ]sampleid: 000000015746.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:31.772 ]sampleid: 000000015751.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:31.873 ]sampleid: 000000015956.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:31.973 ]sampleid: 000000016010.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:32. 73 ]sampleid: 000000016228.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:32.164 ]sampleid: 000000016249.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:32.267 ]sampleid: 000000016439.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:32.370 ]sampleid: 000000016451.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:32.469 ]sampleid: 000000016502.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:32.569 ]sampleid: 000000016598.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:32.672 ]sampleid: 000000016958.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:32.776 ]sampleid: 000000017029.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:32.869 ]sampleid: 000000017031.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:32.977 ]sampleid: 000000017115.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:33. 76 ]sampleid: 000000017178.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:33.174 ]sampleid: 000000017182.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:33.278 ]sampleid: 000000017207.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:33.376 ]sampleid: 000000017379.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:33.474 ]sampleid: 000000017436.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:33.579 ]sampleid: 000000017627.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:33.679 ]sampleid: 000000017714.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:33.784 ]sampleid: 000000017899.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:33.887 ]sampleid: 000000017905.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:33.990 ]sampleid: 000000017959.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:34. 97 ]sampleid: 000000018150.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:34.202 ]sampleid: 000000018193.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:34.310 ]sampleid: 000000018380.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:34.414 ]sampleid: 000000018491.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:34.516 ]sampleid: 000000018519.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:34.616 ]sampleid: 000000018575.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:34.716 ]sampleid: 000000018737.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:34.816 ]sampleid: 000000018770.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:34.918 ]sampleid: 000000018833.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:35. 20 ]sampleid: 000000018837.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:35.120 ]sampleid: 000000019042.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:35.228 ]sampleid: 000000019109.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:35.335 ]sampleid: 000000019221.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:35.436 ]sampleid: 000000019402.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:35.545 ]sampleid: 000000019432.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:35.648 ]sampleid: 000000019742.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:35.749 ]sampleid: 000000019786.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:35.856 ]sampleid: 000000019924.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:35.960 ]sampleid: 000000020059.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:36. 58 ]sampleid: 000000020107.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:36.166 ]sampleid: 000000020247.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:36.270 ]sampleid: 000000020333.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:36.376 ]sampleid: 000000020553.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:36.484 ]sampleid: 000000020571.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:36.590 ]sampleid: 000000020992.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:36.696 ]sampleid: 000000021167.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:36.796 ]sampleid: 000000021465.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:36.903 ]sampleid: 000000021503.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:37. 13 ]sampleid: 000000021604.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:37.125 ]sampleid: 000000021839.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:37.239 ]sampleid: 000000021879.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:37.345 ]sampleid: 000000021903.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:37.449 ]sampleid: 000000022192.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:37.556 ]sampleid: 000000022371.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:37.666 ]sampleid: 000000022396.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:37.778 ]sampleid: 000000022479.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:37.884 ]sampleid: 000000022589.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:37.994 ]sampleid: 000000022623.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:38. 99 ]sampleid: 000000022705.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:38.205 ]sampleid: 000000022755.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:38.314 ]sampleid: 000000022892.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:38.425 ]sampleid: 000000022935.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:38.533 ]sampleid: 000000022969.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:38.640 ]sampleid: 000000023023.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:38.751 ]sampleid: 000000023034.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:38.863 ]sampleid: 000000023126.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:38.980 ]sampleid: 000000023230.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:39. 89 ]sampleid: 000000023272.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:39.203 ]sampleid: 000000023359.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:39.314 ]sampleid: 000000023666.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:39.420 ]sampleid: 000000023751.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:39.532 ]sampleid: 000000023781.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:39.640 ]sampleid: 000000023899.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:39.753 ]sampleid: 000000023937.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:39.858 ]sampleid: 000000024021.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:39.964 ]sampleid: 000000024027.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:40. 86 ]sampleid: 000000024144.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:40.206 ]sampleid: 000000024243.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:40.326 ]sampleid: 000000024567.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:40.444 ]sampleid: 000000024610.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:40.559 ]sampleid: 000000024919.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:40.673 ]sampleid: 000000025057.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:40.780 ]sampleid: 000000025096.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:40.886 ]sampleid: 000000025139.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:41.  4 ]sampleid: 000000025181.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:41.124 ]sampleid: 000000025228.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:41.238 ]sampleid: 000000025386.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:41.353 ]sampleid: 000000025393.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:41.465 ]sampleid: 000000025394.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:41.579 ]sampleid: 000000025424.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:41.693 ]sampleid: 000000025560.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:41.812 ]sampleid: 000000025593.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:41.928 ]sampleid: 000000025603.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:42. 46 ]sampleid: 000000025986.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:42.166 ]sampleid: 000000026204.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:42.278 ]sampleid: 000000026465.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:42.387 ]sampleid: 000000026564.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:42.504 ]sampleid: 000000026690.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:42.620 ]sampleid: 000000026926.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:42.739 ]sampleid: 000000026941.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:42.852 ]sampleid: 000000027186.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:42.969 ]sampleid: 000000027620.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:43. 88 ]sampleid: 000000027696.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:43.211 ]sampleid: 000000027768.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:43.323 ]sampleid: 000000027932.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:43.445 ]sampleid: 000000027972.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:43.560 ]sampleid: 000000027982.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:43.684 ]sampleid: 000000028285.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:43.805 ]sampleid: 000000028449.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:43.928 ]sampleid: 000000028452.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:44. 44 ]sampleid: 000000028809.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:44.166 ]sampleid: 000000028993.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:44.291 ]sampleid: 000000029187.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:44.403 ]sampleid: 000000029393.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:44.527 ]sampleid: 000000029397.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:44.649 ]sampleid: 000000029596.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:44.771 ]sampleid: 000000029640.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:44.886 ]sampleid: 000000029675.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:45.  6 ]sampleid: 000000029984.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:45.131 ]sampleid: 000000030213.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:45.253 ]sampleid: 000000030494.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:45.375 ]sampleid: 000000030504.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:45.500 ]sampleid: 000000030675.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:45.626 ]sampleid: 000000030785.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:45.746 ]sampleid: 000000030828.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:45.866 ]sampleid: 000000031050.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:45.988 ]sampleid: 000000031093.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:46.113 ]sampleid: 000000031118.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:46.234 ]sampleid: 000000031217.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:46.347 ]sampleid: 000000031248.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:46.471 ]sampleid: 000000031269.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:46.591 ]sampleid: 000000031296.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:46.719 ]sampleid: 000000031322.jpg, result=true
[ AI-Rank-Log  4/ 7 14:29:46.842 ]sampleid: 000000031620.jpg, result=true
