[ AI-Rank-Log  2/ 1  6:58:18.777 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  2/ 1  6:58:48.349 ]sampleid: 000000002685.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:48.512 ]sampleid: 000000002923.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:48.644 ]sampleid: 000000003156.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:48.804 ]sampleid: 000000003255.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:48.951 ]sampleid: 000000003501.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:49. 82 ]sampleid: 000000003553.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:49.261 ]sampleid: 000000003661.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:49.422 ]sampleid: 000000003845.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:49.560 ]sampleid: 000000003934.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:49.726 ]sampleid: 000000004134.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:49.855 ]sampleid: 000000004395.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:50. 69 ]sampleid: 000000004495.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:50.217 ]sampleid: 000000004765.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:50.389 ]sampleid: 000000004795.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:50.545 ]sampleid: 000000005001.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:50.705 ]sampleid: 000000005037.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:50.928 ]sampleid: 000000005060.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:51.110 ]sampleid: 000000005193.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:51.274 ]sampleid: 000000005477.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:51.398 ]sampleid: 000000005503.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:51.564 ]sampleid: 000000005529.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:51.725 ]sampleid: 000000005586.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:51.944 ]sampleid: 000000005600.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:52.130 ]sampleid: 000000005992.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:52.268 ]sampleid: 000000006012.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:52.430 ]sampleid: 000000006040.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:52.578 ]sampleid: 000000006213.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:52.801 ]sampleid: 000000006460.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:53. 19 ]sampleid: 000000006471.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:53.179 ]sampleid: 000000006614.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:53.385 ]sampleid: 000000006723.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:53.605 ]sampleid: 000000006763.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:53.754 ]sampleid: 000000006771.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:53.937 ]sampleid: 000000006818.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:54.103 ]sampleid: 000000006894.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:54.281 ]sampleid: 000000006954.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:54.463 ]sampleid: 000000007088.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:54.621 ]sampleid: 000000007108.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:54.838 ]sampleid: 000000007278.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:55. 59 ]sampleid: 000000007281.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:55.222 ]sampleid: 000000007386.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:55.447 ]sampleid: 000000007511.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:55.643 ]sampleid: 000000007574.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:55.811 ]sampleid: 000000007784.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:55.996 ]sampleid: 000000007795.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:56.151 ]sampleid: 000000007816.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:56.377 ]sampleid: 000000007818.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:56.530 ]sampleid: 000000007888.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:56.703 ]sampleid: 000000007977.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:56.882 ]sampleid: 000000007991.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:57.111 ]sampleid: 000000008021.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:57.342 ]sampleid: 000000008211.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:57.575 ]sampleid: 000000008277.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:57.801 ]sampleid: 000000008532.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:57.982 ]sampleid: 000000008629.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:58.160 ]sampleid: 000000008690.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:58.388 ]sampleid: 000000008762.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:58.578 ]sampleid: 000000008844.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:58.816 ]sampleid: 000000008899.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:59. 44 ]sampleid: 000000009378.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:59.273 ]sampleid: 000000009400.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:59.514 ]sampleid: 000000009448.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:59.745 ]sampleid: 000000009483.jpg, result=true
[ AI-Rank-Log  2/ 1  6:58:59.975 ]sampleid: 000000009590.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 0.120 ]sampleid: 000000009769.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 0.232 ]sampleid: 000000009772.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 0.337 ]sampleid: 000000009891.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 0.456 ]sampleid: 000000009914.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 0.687 ]sampleid: 000000010092.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 0.918 ]sampleid: 000000010363.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 1.157 ]sampleid: 000000010583.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 1.390 ]sampleid: 000000010707.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 1.625 ]sampleid: 000000010764.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 1.856 ]sampleid: 000000010977.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 1.999 ]sampleid: 000000010995.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 2.234 ]sampleid: 000000011051.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 2.471 ]sampleid: 000000011122.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 2.704 ]sampleid: 000000011149.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 2.915 ]sampleid: 000000011197.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 3.146 ]sampleid: 000000011511.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 3.382 ]sampleid: 000000011615.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 3.621 ]sampleid: 000000011699.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 3.860 ]sampleid: 000000011760.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 4. 89 ]sampleid: 000000011813.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 4.326 ]sampleid: 000000012062.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 4.562 ]sampleid: 000000012120.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 4.801 ]sampleid: 000000012280.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 5. 44 ]sampleid: 000000012576.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 5.286 ]sampleid: 000000012639.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 5.509 ]sampleid: 000000012667.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 5.698 ]sampleid: 000000012670.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 5.837 ]sampleid: 000000012748.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 5.997 ]sampleid: 000000013004.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 6.231 ]sampleid: 000000013177.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 6.472 ]sampleid: 000000013201.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 6.707 ]sampleid: 000000013291.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 6.948 ]sampleid: 000000013348.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 7.187 ]sampleid: 000000013546.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 7.423 ]sampleid: 000000013597.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 7.665 ]sampleid: 000000013659.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 7.904 ]sampleid: 000000013729.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 8.148 ]sampleid: 000000013774.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 8.391 ]sampleid: 000000013923.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 8.630 ]sampleid: 000000014007.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 8.873 ]sampleid: 000000014038.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 9.111 ]sampleid: 000000014226.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 9.353 ]sampleid: 000000014380.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 9.596 ]sampleid: 000000014439.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59: 9.839 ]sampleid: 000000014473.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:10. 85 ]sampleid: 000000014831.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:10.331 ]sampleid: 000000014888.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:10.569 ]sampleid: 000000015079.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:10.809 ]sampleid: 000000015254.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:11. 61 ]sampleid: 000000015272.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:11.303 ]sampleid: 000000015278.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:11.550 ]sampleid: 000000015335.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:11.797 ]sampleid: 000000015338.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:12. 43 ]sampleid: 000000015440.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:12.285 ]sampleid: 000000015497.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:12.533 ]sampleid: 000000015517.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:12.779 ]sampleid: 000000015597.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:13. 24 ]sampleid: 000000015660.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:13.271 ]sampleid: 000000015746.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:13.516 ]sampleid: 000000015751.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:13.703 ]sampleid: 000000015956.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:13.952 ]sampleid: 000000016010.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:14.201 ]sampleid: 000000016228.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:14.446 ]sampleid: 000000016249.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:14.693 ]sampleid: 000000016439.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:14.951 ]sampleid: 000000016451.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:15.198 ]sampleid: 000000016502.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:15.452 ]sampleid: 000000016598.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:15.702 ]sampleid: 000000016958.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:15.961 ]sampleid: 000000017029.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:16.210 ]sampleid: 000000017031.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:16.419 ]sampleid: 000000017115.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:16.606 ]sampleid: 000000017178.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:16.854 ]sampleid: 000000017182.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:17.105 ]sampleid: 000000017207.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:17.359 ]sampleid: 000000017379.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:17.614 ]sampleid: 000000017436.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:17.869 ]sampleid: 000000017627.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:18.122 ]sampleid: 000000017714.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:18.381 ]sampleid: 000000017899.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:18.640 ]sampleid: 000000017905.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:18.893 ]sampleid: 000000017959.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:19.147 ]sampleid: 000000018150.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:19.399 ]sampleid: 000000018193.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:19.658 ]sampleid: 000000018380.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:19.912 ]sampleid: 000000018491.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:20.169 ]sampleid: 000000018519.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:20.353 ]sampleid: 000000018575.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:20.565 ]sampleid: 000000018737.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:20.822 ]sampleid: 000000018770.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:21. 74 ]sampleid: 000000018833.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:21.333 ]sampleid: 000000018837.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:21.593 ]sampleid: 000000019042.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:21.789 ]sampleid: 000000019109.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:22. 30 ]sampleid: 000000019221.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:22.287 ]sampleid: 000000019402.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:22.549 ]sampleid: 000000019432.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:22.802 ]sampleid: 000000019742.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:23. 17 ]sampleid: 000000019786.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:23.275 ]sampleid: 000000019924.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:23.538 ]sampleid: 000000020059.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:23.760 ]sampleid: 000000020107.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:24. 20 ]sampleid: 000000020247.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:24.279 ]sampleid: 000000020333.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:24.456 ]sampleid: 000000020553.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:24.594 ]sampleid: 000000020571.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:24.724 ]sampleid: 000000020992.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:24.856 ]sampleid: 000000021167.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:25. 28 ]sampleid: 000000021465.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:25.204 ]sampleid: 000000021503.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:25.378 ]sampleid: 000000021604.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:25.559 ]sampleid: 000000021839.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:25.736 ]sampleid: 000000021879.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:25.939 ]sampleid: 000000021903.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:26.197 ]sampleid: 000000022192.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:26.455 ]sampleid: 000000022371.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:26.721 ]sampleid: 000000022396.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:26.989 ]sampleid: 000000022479.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:27.166 ]sampleid: 000000022589.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:27.303 ]sampleid: 000000022623.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:27.513 ]sampleid: 000000022705.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:27.665 ]sampleid: 000000022755.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:27.812 ]sampleid: 000000022892.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:27.999 ]sampleid: 000000022935.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:28.241 ]sampleid: 000000022969.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:28.488 ]sampleid: 000000023023.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:28.712 ]sampleid: 000000023034.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:28.976 ]sampleid: 000000023126.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:29.169 ]sampleid: 000000023230.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:29.397 ]sampleid: 000000023272.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:29.622 ]sampleid: 000000023359.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:29.856 ]sampleid: 000000023666.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:30.123 ]sampleid: 000000023751.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:30.391 ]sampleid: 000000023781.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:30.656 ]sampleid: 000000023899.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:30.926 ]sampleid: 000000023937.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:31.193 ]sampleid: 000000024021.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:31.461 ]sampleid: 000000024027.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:31.737 ]sampleid: 000000024144.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:32.  8 ]sampleid: 000000024243.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:32.279 ]sampleid: 000000024567.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:32.545 ]sampleid: 000000024610.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:32.814 ]sampleid: 000000024919.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:33. 84 ]sampleid: 000000025057.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:33.350 ]sampleid: 000000025096.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:33.616 ]sampleid: 000000025139.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:33.792 ]sampleid: 000000025181.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:33.937 ]sampleid: 000000025228.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:34.208 ]sampleid: 000000025386.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:34.480 ]sampleid: 000000025393.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:34.667 ]sampleid: 000000025394.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:34.871 ]sampleid: 000000025424.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:35.139 ]sampleid: 000000025560.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:35.415 ]sampleid: 000000025593.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:35.582 ]sampleid: 000000025603.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:35.856 ]sampleid: 000000025986.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:36. 93 ]sampleid: 000000026204.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:36.315 ]sampleid: 000000026465.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:36.536 ]sampleid: 000000026564.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:36.759 ]sampleid: 000000026690.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:37. 32 ]sampleid: 000000026926.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:37.307 ]sampleid: 000000026941.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:37.576 ]sampleid: 000000027186.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:37.849 ]sampleid: 000000027620.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:38.122 ]sampleid: 000000027696.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:38.404 ]sampleid: 000000027768.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:38.672 ]sampleid: 000000027932.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:38.952 ]sampleid: 000000027972.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:39.228 ]sampleid: 000000027982.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:39.508 ]sampleid: 000000028285.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:39.784 ]sampleid: 000000028449.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:40. 36 ]sampleid: 000000028452.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:40.313 ]sampleid: 000000028809.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:40.603 ]sampleid: 000000028993.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:40.884 ]sampleid: 000000029187.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:41.160 ]sampleid: 000000029393.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:41.440 ]sampleid: 000000029397.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:41.718 ]sampleid: 000000029596.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:41.996 ]sampleid: 000000029640.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:42.276 ]sampleid: 000000029675.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:42.557 ]sampleid: 000000029984.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:42.842 ]sampleid: 000000030213.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:43.123 ]sampleid: 000000030494.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:43.405 ]sampleid: 000000030504.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:43.664 ]sampleid: 000000030675.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:43.944 ]sampleid: 000000030785.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:44.225 ]sampleid: 000000030828.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:44.510 ]sampleid: 000000031050.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:44.765 ]sampleid: 000000031093.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:45. 47 ]sampleid: 000000031118.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:45.330 ]sampleid: 000000031217.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:45.608 ]sampleid: 000000031248.jpg, result=true
[ AI-Rank-Log  2/ 1  6:59:45.864 ]sampleid: 000000031269.jpg, result=true
