AI-Rank-log 1617000154.2617233 load_data, checksum:xxx
AI-Rank-log 1617000173.7466583 total_accuracy:0.02460629865527153, total_samples_cnt:4064
AI-Rank-log 1617000173.9165485 total_accuracy:0.0244140625, total_samples_cnt:4096
AI-Rank-log 1617000174.004465 total_accuracy:0.02422480657696724, total_samples_cnt:4128
AI-Rank-log 1617000174.1642814 total_accuracy:0.024038461968302727, total_samples_cnt:4160
AI-Rank-log 1617000174.2515655 total_accuracy:0.02385496161878109, total_samples_cnt:4192
AI-Rank-log 1617000174.4466338 total_accuracy:0.023674242198467255, total_samples_cnt:4224
AI-Rank-log 1617000174.5333147 total_accuracy:0.023496240377426147, total_samples_cnt:4256
AI-Rank-log 1617000174.7094681 total_accuracy:0.023320894688367844, total_samples_cnt:4288
AI-Rank-log 1617000174.7972345 total_accuracy:0.023148147389292717, total_samples_cnt:4320
AI-Rank-log 1617000174.9618938 total_accuracy:0.02297794073820114, total_samples_cnt:4352
AI-Rank-log 1617000175.0492492 total_accuracy:0.02281021885573864, total_samples_cnt:4384
AI-Rank-log 1617000175.2145815 total_accuracy:0.022644927725195885, total_samples_cnt:4416
AI-Rank-log 1617000175.3026483 total_accuracy:0.022482015192508698, total_samples_cnt:4448
AI-Rank-log 1617000175.4571996 total_accuracy:0.0223214291036129, total_samples_cnt:4480
AI-Rank-log 1617000175.5444305 total_accuracy:0.022163119167089462, total_samples_cnt:4512
AI-Rank-log 1617000175.7242994 total_accuracy:0.022007042542099953, total_samples_cnt:4544
AI-Rank-log 1617000175.812361 total_accuracy:0.021853147074580193, total_samples_cnt:4576
AI-Rank-log 1617000175.9855614 total_accuracy:0.02170138992369175, total_samples_cnt:4608
AI-Rank-log 1617000176.0726392 total_accuracy:0.021551724523305893, total_samples_cnt:4640
AI-Rank-log 1617000176.2323668 total_accuracy:0.02140410989522934, total_samples_cnt:4672
AI-Rank-log 1617000176.320316 total_accuracy:0.021258503198623657, total_samples_cnt:4704
AI-Rank-log 1617000176.4817393 total_accuracy:0.021114865317940712, total_samples_cnt:4736
AI-Rank-log 1617000176.5689614 total_accuracy:0.02097315527498722, total_samples_cnt:4768
AI-Rank-log 1617000176.7416604 total_accuracy:0.02083333395421505, total_samples_cnt:4800
AI-Rank-log 1617000176.8298936 total_accuracy:0.020695364102721214, total_samples_cnt:4832
AI-Rank-log 1617000177.0300999 total_accuracy:0.02055921033024788, total_samples_cnt:4864
AI-Rank-log 1617000177.117683 total_accuracy:0.02042483724653721, total_samples_cnt:4896
AI-Rank-log 1617000177.272695 total_accuracy:0.020292207598686218, total_samples_cnt:4928
AI-Rank-log 1617000177.3604 total_accuracy:0.02016128972172737, total_samples_cnt:4960
AI-Rank-log 1617000177.5248902 total_accuracy:0.02003205195069313, total_samples_cnt:4992
AI-Rank-log 1617000177.6122355 total_accuracy:0.03980891779065132, total_samples_cnt:5024
AI-Rank-log 1617000177.786125 total_accuracy:0.03955696150660515, total_samples_cnt:5056
AI-Rank-log 1617000177.873082 total_accuracy:0.039308175444602966, total_samples_cnt:5088
AI-Rank-log 1617000178.0441363 total_accuracy:0.0390625, total_samples_cnt:5120
AI-Rank-log 1617000178.1327055 total_accuracy:0.038819875568151474, total_samples_cnt:5152
AI-Rank-log 1617000178.28417 total_accuracy:0.03858024626970291, total_samples_cnt:5184
AI-Rank-log 1617000178.3720598 total_accuracy:0.038343556225299835, total_samples_cnt:5216
AI-Rank-log 1617000178.5449095 total_accuracy:0.03810975328087807, total_samples_cnt:5248
AI-Rank-log 1617000178.633392 total_accuracy:0.03787878528237343, total_samples_cnt:5280
AI-Rank-log 1617000178.80971 total_accuracy:0.03765060007572174, total_samples_cnt:5312
AI-Rank-log 1617000178.8972468 total_accuracy:0.03742515295743942, total_samples_cnt:5344
AI-Rank-log 1617000179.0460017 total_accuracy:0.0372023805975914, total_samples_cnt:5376
AI-Rank-log 1617000179.133355 total_accuracy:0.03698224946856499, total_samples_cnt:5408
AI-Rank-log 1617000179.3049452 total_accuracy:0.036764707416296005, total_samples_cnt:5440
AI-Rank-log 1617000179.393519 total_accuracy:0.03654970973730087, total_samples_cnt:5472
AI-Rank-log 1617000179.5762458 total_accuracy:0.03633720800280571, total_samples_cnt:5504
AI-Rank-log 1617000179.6629186 total_accuracy:0.03612716495990753, total_samples_cnt:5536
AI-Rank-log 1617000179.803412 total_accuracy:0.035919539630413055, total_samples_cnt:5568
AI-Rank-log 1617000179.8903792 total_accuracy:0.0535714291036129, total_samples_cnt:5600
AI-Rank-log 1617000180.0874643 total_accuracy:0.05326704680919647, total_samples_cnt:5632
AI-Rank-log 1617000180.1745331 total_accuracy:0.052966102957725525, total_samples_cnt:5664
AI-Rank-log 1617000180.3347902 total_accuracy:0.05266854166984558, total_samples_cnt:5696
AI-Rank-log 1617000180.4224188 total_accuracy:0.05237429961562157, total_samples_cnt:5728
AI-Rank-log 1617000180.6008446 total_accuracy:0.0694444477558136, total_samples_cnt:5760
AI-Rank-log 1617000180.6890793 total_accuracy:0.06906077265739441, total_samples_cnt:5792
AI-Rank-log 1617000180.8564641 total_accuracy:0.06868132203817368, total_samples_cnt:5824
AI-Rank-log 1617000180.9433815 total_accuracy:0.06830600649118423, total_samples_cnt:5856
AI-Rank-log 1617000181.090722 total_accuracy:0.0679347813129425, total_samples_cnt:5888
AI-Rank-log 1617000181.1933262 total_accuracy:0.06756757199764252, total_samples_cnt:5920
AI-Rank-log 1617000181.3483822 total_accuracy:0.0672043040394783, total_samples_cnt:5952
AI-Rank-log 1617000181.4515364 total_accuracy:0.06684491783380508, total_samples_cnt:5984
AI-Rank-log 1617000181.690926 total_accuracy:0.06648936122655869, total_samples_cnt:6016
AI-Rank-log 1617000181.7926128 total_accuracy:0.06613756716251373, total_samples_cnt:6048
AI-Rank-log 1617000181.9495535 total_accuracy:0.06578947603702545, total_samples_cnt:6080
AI-Rank-log 1617000182.052929 total_accuracy:0.06544502824544907, total_samples_cnt:6112
AI-Rank-log 1617000182.6683047 total_accuracy:0.0651041716337204, total_samples_cnt:6144
AI-Rank-log 1617000182.7563229 total_accuracy:0.06476683914661407, total_samples_cnt:6176
AI-Rank-log 1617000182.9402137 total_accuracy:0.06443298608064651, total_samples_cnt:6208
AI-Rank-log 1617000183.028416 total_accuracy:0.06410256773233414, total_samples_cnt:6240
AI-Rank-log 1617000183.185452 total_accuracy:0.06377550959587097, total_samples_cnt:6272
AI-Rank-log 1617000183.2729049 total_accuracy:0.06345177441835403, total_samples_cnt:6304
AI-Rank-log 1617000183.421689 total_accuracy:0.06313131004571915, total_samples_cnt:6336
AI-Rank-log 1617000183.5092762 total_accuracy:0.06281407177448273, total_samples_cnt:6368
AI-Rank-log 1617000183.6699018 total_accuracy:0.0625, total_samples_cnt:6400
AI-Rank-log 1617000183.7569802 total_accuracy:0.06218905374407768, total_samples_cnt:6432
AI-Rank-log 1617000183.9162438 total_accuracy:0.06188118830323219, total_samples_cnt:6464
AI-Rank-log 1617000184.003191 total_accuracy:0.06157635524868965, total_samples_cnt:6496
AI-Rank-log 1617000184.173866 total_accuracy:0.061274513602256775, total_samples_cnt:6528
AI-Rank-log 1617000184.2603405 total_accuracy:0.060975611209869385, total_samples_cnt:6560
AI-Rank-log 1617000184.4385242 total_accuracy:0.060679610818624496, total_samples_cnt:6592
AI-Rank-log 1617000184.5259047 total_accuracy:0.06038647145032883, total_samples_cnt:6624
AI-Rank-log 1617000184.6983726 total_accuracy:0.06009615585207939, total_samples_cnt:6656
AI-Rank-log 1617000184.7860596 total_accuracy:0.05980861186981201, total_samples_cnt:6688
AI-Rank-log 1617000185.0137725 total_accuracy:0.0595238134264946, total_samples_cnt:6720
AI-Rank-log 1617000185.1017437 total_accuracy:0.05924170836806297, total_samples_cnt:6752
AI-Rank-log 1617000185.2904518 total_accuracy:0.05896226316690445, total_samples_cnt:6784
AI-Rank-log 1617000185.3781464 total_accuracy:0.05868544802069664, total_samples_cnt:6816
AI-Rank-log 1617000185.5691938 total_accuracy:0.058411214500665665, total_samples_cnt:6848
AI-Rank-log 1617000185.6571379 total_accuracy:0.058139532804489136, total_samples_cnt:6880
AI-Rank-log 1617000185.8328001 total_accuracy:0.05787036940455437, total_samples_cnt:6912
AI-Rank-log 1617000185.9211223 total_accuracy:0.057603687047958374, total_samples_cnt:6944
AI-Rank-log 1617000186.09093 total_accuracy:0.05733944848179817, total_samples_cnt:6976
AI-Rank-log 1617000186.1791017 total_accuracy:0.05707762390375137, total_samples_cnt:7008
AI-Rank-log 1617000186.3376563 total_accuracy:0.05681817978620529, total_samples_cnt:7040
AI-Rank-log 1617000186.4250443 total_accuracy:0.05656109005212784, total_samples_cnt:7072
AI-Rank-log 1617000186.6030972 total_accuracy:0.05630630627274513, total_samples_cnt:7104
AI-Rank-log 1617000186.6906972 total_accuracy:0.05605381354689598, total_samples_cnt:7136
AI-Rank-log 1617000186.8486178 total_accuracy:0.0558035746216774, total_samples_cnt:7168
AI-Rank-log 1617000186.936749 total_accuracy:0.0555555559694767, total_samples_cnt:7200
AI-Rank-log 1617000187.1110666 total_accuracy:0.055309735238552094, total_samples_cnt:7232
AI-Rank-log 1617000187.198703 total_accuracy:0.055066078901290894, total_samples_cnt:7264
AI-Rank-log 1617000187.3609345 total_accuracy:0.05482456088066101, total_samples_cnt:7296
AI-Rank-log 1617000187.4474745 total_accuracy:0.054585155099630356, total_samples_cnt:7328
AI-Rank-log 1617000187.6009762 total_accuracy:0.054347824305295944, total_samples_cnt:7360
AI-Rank-log 1617000187.6883042 total_accuracy:0.05411255359649658, total_samples_cnt:7392
AI-Rank-log 1617000187.8300095 total_accuracy:0.05387930944561958, total_samples_cnt:7424
AI-Rank-log 1617000187.9177501 total_accuracy:0.05364806950092316, total_samples_cnt:7456
AI-Rank-log 1617000188.068542 total_accuracy:0.053418807685375214, total_samples_cnt:7488
AI-Rank-log 1617000188.1561627 total_accuracy:0.05319148674607277, total_samples_cnt:7520
AI-Rank-log 1617000188.3120716 total_accuracy:0.052966102957725525, total_samples_cnt:7552
AI-Rank-log 1617000188.398797 total_accuracy:0.0527426153421402, total_samples_cnt:7584
AI-Rank-log 1617000188.6907105 total_accuracy:0.05252101272344589, total_samples_cnt:7616
AI-Rank-log 1617000188.777697 total_accuracy:0.052301254123449326, total_samples_cnt:7648
AI-Rank-log 1617000188.9177196 total_accuracy:0.0520833358168602, total_samples_cnt:7680
AI-Rank-log 1617000189.0059323 total_accuracy:0.051867224276065826, total_samples_cnt:7712
AI-Rank-log 1617000189.148563 total_accuracy:0.05165288969874382, total_samples_cnt:7744
AI-Rank-log 1617000189.2362812 total_accuracy:0.05144032835960388, total_samples_cnt:7776
AI-Rank-log 1617000189.3953311 total_accuracy:0.051229506731033325, total_samples_cnt:7808
AI-Rank-log 1617000189.4823675 total_accuracy:0.05102040618658066, total_samples_cnt:7840
AI-Rank-log 1617000189.6326952 total_accuracy:0.05081300437450409, total_samples_cnt:7872
AI-Rank-log 1617000189.719515 total_accuracy:0.050607290118932724, total_samples_cnt:7904
AI-Rank-log 1617000189.8499398 total_accuracy:0.05040322244167328, total_samples_cnt:7936
AI-Rank-log 1617000189.9371817 total_accuracy:0.050200801342725754, total_samples_cnt:7968
AI-Rank-log 1617000190.099219 total_accuracy:0.05000000074505806, total_samples_cnt:8000
AI-Rank-log 1617000190.186525 total_accuracy:0.049800798296928406, total_samples_cnt:8032
AI-Rank-log 1617000190.338079 total_accuracy:0.0496031790971756, total_samples_cnt:8064
AI-Rank-log 1617000190.4258752 total_accuracy:0.04940711706876755, total_samples_cnt:8096
AI-Rank-log 1617000190.6285353 total_accuracy:0.04921259731054306, total_samples_cnt:8128
AI-Rank-log 1617000190.7158732 total_accuracy:0.04901961237192154, total_samples_cnt:8160
AI-Rank-log 1617000191.0039265 total_accuracy:0.048828125, total_samples_cnt:8192
AI-Rank-log 1617000191.0922513 total_accuracy:0.048638131469488144, total_samples_cnt:8224
AI-Rank-log 1617000191.2467635 total_accuracy:0.04844961315393448, total_samples_cnt:8256
AI-Rank-log 1617000191.334962 total_accuracy:0.048262547701597214, total_samples_cnt:8288
AI-Rank-log 1617000191.4834588 total_accuracy:0.048076923936605453, total_samples_cnt:8320
AI-Rank-log 1617000191.5705588 total_accuracy:0.04789271950721741, total_samples_cnt:8352
AI-Rank-log 1617000191.7227407 total_accuracy:0.04770992323756218, total_samples_cnt:8384
AI-Rank-log 1617000191.8106208 total_accuracy:0.04752851650118828, total_samples_cnt:8416
AI-Rank-log 1617000191.9687269 total_accuracy:0.04734848439693451, total_samples_cnt:8448
AI-Rank-log 1617000192.0575929 total_accuracy:0.04716981202363968, total_samples_cnt:8480
AI-Rank-log 1617000192.2015655 total_accuracy:0.046992480754852295, total_samples_cnt:8512
AI-Rank-log 1617000192.2892828 total_accuracy:0.04681647941470146, total_samples_cnt:8544
AI-Rank-log 1617000192.412476 total_accuracy:0.04664178937673569, total_samples_cnt:8576
AI-Rank-log 1617000192.5002027 total_accuracy:0.046468399465084076, total_samples_cnt:8608
AI-Rank-log 1617000192.7121294 total_accuracy:0.046296294778585434, total_samples_cnt:8640
AI-Rank-log 1617000192.8002317 total_accuracy:0.04612546041607857, total_samples_cnt:8672
AI-Rank-log 1617000192.969818 total_accuracy:0.04595588147640228, total_samples_cnt:8704
AI-Rank-log 1617000193.0567298 total_accuracy:0.045787546783685684, total_samples_cnt:8736
AI-Rank-log 1617000193.3940623 total_accuracy:0.04562043771147728, total_samples_cnt:8768
AI-Rank-log 1617000193.4804955 total_accuracy:0.04545454680919647, total_samples_cnt:8800
AI-Rank-log 1617000193.6297402 total_accuracy:0.04528985545039177, total_samples_cnt:8832
AI-Rank-log 1617000193.7182825 total_accuracy:0.045126352459192276, total_samples_cnt:8864
AI-Rank-log 1617000193.9119163 total_accuracy:0.044964030385017395, total_samples_cnt:8896
AI-Rank-log 1617000194.00065 total_accuracy:0.044802866876125336, total_samples_cnt:8928
AI-Rank-log 1617000194.154131 total_accuracy:0.0446428582072258, total_samples_cnt:8960
AI-Rank-log 1617000194.242687 total_accuracy:0.044483985751867294, total_samples_cnt:8992
AI-Rank-log 1617000194.4008327 total_accuracy:0.044326238334178925, total_samples_cnt:9024
AI-Rank-log 1617000194.4888082 total_accuracy:0.04416961222887039, total_samples_cnt:9056
AI-Rank-log 1617000194.6478505 total_accuracy:0.044014085084199905, total_samples_cnt:9088
AI-Rank-log 1617000194.7357705 total_accuracy:0.04385964944958687, total_samples_cnt:9120
AI-Rank-log 1617000194.9008274 total_accuracy:0.043706294149160385, total_samples_cnt:9152
AI-Rank-log 1617000194.9889936 total_accuracy:0.04355400800704956, total_samples_cnt:9184
AI-Rank-log 1617000195.1267645 total_accuracy:0.0434027798473835, total_samples_cnt:9216
AI-Rank-log 1617000195.2148638 total_accuracy:0.04325259476900101, total_samples_cnt:9248
AI-Rank-log 1617000195.3940525 total_accuracy:0.043103449046611786, total_samples_cnt:9280
AI-Rank-log 1617000195.48175 total_accuracy:0.04295532777905464, total_samples_cnt:9312
AI-Rank-log 1617000195.6382043 total_accuracy:0.04280821979045868, total_samples_cnt:9344
AI-Rank-log 1617000195.7253647 total_accuracy:0.042662113904953, total_samples_cnt:9376
AI-Rank-log 1617000195.8880458 total_accuracy:0.042517006397247314, total_samples_cnt:9408
AI-Rank-log 1617000195.9760718 total_accuracy:0.04237288236618042, total_samples_cnt:9440
AI-Rank-log 1617000196.1403708 total_accuracy:0.042229730635881424, total_samples_cnt:9472
AI-Rank-log 1617000196.2285864 total_accuracy:0.04208754003047943, total_samples_cnt:9504
AI-Rank-log 1617000196.5150783 total_accuracy:0.04194631054997444, total_samples_cnt:9536
AI-Rank-log 1617000196.6033916 total_accuracy:0.041806019842624664, total_samples_cnt:9568
AI-Rank-log 1617000196.7657688 total_accuracy:0.0416666679084301, total_samples_cnt:9600
AI-Rank-log 1617000196.8537602 total_accuracy:0.04152823984622955, total_samples_cnt:9632
AI-Rank-log 1617000197.0142226 total_accuracy:0.04139072820544243, total_samples_cnt:9664
AI-Rank-log 1617000197.1013868 total_accuracy:0.04125412553548813, total_samples_cnt:9696
AI-Rank-log 1617000197.2766385 total_accuracy:0.04111842066049576, total_samples_cnt:9728
AI-Rank-log 1617000197.3649142 total_accuracy:0.04098360612988472, total_samples_cnt:9760
AI-Rank-log 1617000197.502644 total_accuracy:0.04084967449307442, total_samples_cnt:9792
AI-Rank-log 1617000197.5913777 total_accuracy:0.040716610848903656, total_samples_cnt:9824
AI-Rank-log 1617000197.7150383 total_accuracy:0.040584415197372437, total_samples_cnt:9856
AI-Rank-log 1617000197.8028896 total_accuracy:0.04045307636260986, total_samples_cnt:9888
AI-Rank-log 1617000197.9557521 total_accuracy:0.04032257944345474, total_samples_cnt:9920
AI-Rank-log 1617000198.0445857 total_accuracy:0.040192924439907074, total_samples_cnt:9952
AI-Rank-log 1617000198.2288082 total_accuracy:0.04006410390138626, total_samples_cnt:9984
AI-Rank-log 1617000198.3167183 total_accuracy:0.03993610292673111, total_samples_cnt:10016
AI-Rank-log 1617000198.4867783 total_accuracy:0.03980891779065132, total_samples_cnt:10048
AI-Rank-log 1617000198.574205 total_accuracy:0.0396825410425663, total_samples_cnt:10080
AI-Rank-log 1617000198.7349918 total_accuracy:0.03955696150660515, total_samples_cnt:10112
