[ AI-Rank-Log  1/31 20:58:57.965 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  1/31 20:59:49.528 ]sampleid: 000000015272.jpg, result=true
[ AI-Rank-Log  1/31 20:59:49.762 ]sampleid: 000000015278.jpg, result=true
[ AI-Rank-Log  1/31 20:59:49.993 ]sampleid: 000000015335.jpg, result=true
[ AI-Rank-Log  1/31 20:59:50.223 ]sampleid: 000000015338.jpg, result=true
[ AI-Rank-Log  1/31 20:59:50.346 ]sampleid: 000000015440.jpg, result=true
[ AI-Rank-Log  1/31 20:59:50.577 ]sampleid: 000000015497.jpg, result=true
[ AI-Rank-Log  1/31 20:59:50.813 ]sampleid: 000000015517.jpg, result=true
[ AI-Rank-Log  1/31 20:59:51. 44 ]sampleid: 000000015597.jpg, result=true
[ AI-Rank-Log  1/31 20:59:51.274 ]sampleid: 000000015660.jpg, result=true
[ AI-Rank-Log  1/31 20:59:51.508 ]sampleid: 000000015746.jpg, result=true
[ AI-Rank-Log  1/31 20:59:51.741 ]sampleid: 000000015751.jpg, result=true
[ AI-Rank-Log  1/31 20:59:51.975 ]sampleid: 000000015956.jpg, result=true
[ AI-Rank-Log  1/31 20:59:52.208 ]sampleid: 000000016010.jpg, result=true
[ AI-Rank-Log  1/31 20:59:52.443 ]sampleid: 000000016228.jpg, result=true
[ AI-Rank-Log  1/31 20:59:52.673 ]sampleid: 000000016249.jpg, result=true
[ AI-Rank-Log  1/31 20:59:52.903 ]sampleid: 000000016439.jpg, result=true
[ AI-Rank-Log  1/31 20:59:53.143 ]sampleid: 000000016451.jpg, result=true
[ AI-Rank-Log  1/31 20:59:53.372 ]sampleid: 000000016502.jpg, result=true
[ AI-Rank-Log  1/31 20:59:53.515 ]sampleid: 000000016598.jpg, result=true
[ AI-Rank-Log  1/31 20:59:53.757 ]sampleid: 000000016958.jpg, result=true
[ AI-Rank-Log  1/31 20:59:54.  3 ]sampleid: 000000017029.jpg, result=true
[ AI-Rank-Log  1/31 20:59:54.236 ]sampleid: 000000017031.jpg, result=true
[ AI-Rank-Log  1/31 20:59:54.482 ]sampleid: 000000017115.jpg, result=true
[ AI-Rank-Log  1/31 20:59:54.623 ]sampleid: 000000017178.jpg, result=true
[ AI-Rank-Log  1/31 20:59:54.748 ]sampleid: 000000017182.jpg, result=true
[ AI-Rank-Log  1/31 20:59:54.986 ]sampleid: 000000017207.jpg, result=true
[ AI-Rank-Log  1/31 20:59:55.224 ]sampleid: 000000017379.jpg, result=true
[ AI-Rank-Log  1/31 20:59:55.461 ]sampleid: 000000017436.jpg, result=true
[ AI-Rank-Log  1/31 20:59:55.699 ]sampleid: 000000017627.jpg, result=true
[ AI-Rank-Log  1/31 20:59:55.936 ]sampleid: 000000017714.jpg, result=true
[ AI-Rank-Log  1/31 20:59:56.108 ]sampleid: 000000017899.jpg, result=true
[ AI-Rank-Log  1/31 20:59:56.291 ]sampleid: 000000017905.jpg, result=true
[ AI-Rank-Log  1/31 20:59:56.526 ]sampleid: 000000017959.jpg, result=true
[ AI-Rank-Log  1/31 20:59:56.765 ]sampleid: 000000018150.jpg, result=true
[ AI-Rank-Log  1/31 20:59:56.980 ]sampleid: 000000018193.jpg, result=true
[ AI-Rank-Log  1/31 20:59:57.221 ]sampleid: 000000018380.jpg, result=true
[ AI-Rank-Log  1/31 20:59:57.456 ]sampleid: 000000018491.jpg, result=true
[ AI-Rank-Log  1/31 20:59:57.697 ]sampleid: 000000018519.jpg, result=true
[ AI-Rank-Log  1/31 20:59:57.935 ]sampleid: 000000018575.jpg, result=true
[ AI-Rank-Log  1/31 20:59:58.125 ]sampleid: 000000018737.jpg, result=true
[ AI-Rank-Log  1/31 20:59:58.360 ]sampleid: 000000018770.jpg, result=true
[ AI-Rank-Log  1/31 20:59:58.597 ]sampleid: 000000018833.jpg, result=true
[ AI-Rank-Log  1/31 20:59:58.841 ]sampleid: 000000018837.jpg, result=true
[ AI-Rank-Log  1/31 20:59:59. 83 ]sampleid: 000000019042.jpg, result=true
[ AI-Rank-Log  1/31 20:59:59.328 ]sampleid: 000000019109.jpg, result=true
[ AI-Rank-Log  1/31 20:59:59.530 ]sampleid: 000000019221.jpg, result=true
[ AI-Rank-Log  1/31 20:59:59.701 ]sampleid: 000000019402.jpg, result=true
[ AI-Rank-Log  1/31 20:59:59.831 ]sampleid: 000000019432.jpg, result=true
[ AI-Rank-Log  1/31 20:59:59.945 ]sampleid: 000000019742.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 0. 74 ]sampleid: 000000019786.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 0.278 ]sampleid: 000000019924.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 0.522 ]sampleid: 000000020059.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 0.674 ]sampleid: 000000020107.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 0.920 ]sampleid: 000000020247.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 1.165 ]sampleid: 000000020333.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 1.392 ]sampleid: 000000020553.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 1.618 ]sampleid: 000000020571.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 1.858 ]sampleid: 000000020992.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 2. 98 ]sampleid: 000000021167.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 2.340 ]sampleid: 000000021465.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 2.582 ]sampleid: 000000021503.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 2.773 ]sampleid: 000000021604.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 2.953 ]sampleid: 000000021839.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 3.202 ]sampleid: 000000021879.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 3.445 ]sampleid: 000000021903.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 3.687 ]sampleid: 000000022192.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 3.925 ]sampleid: 000000022371.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 4. 68 ]sampleid: 000000022396.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 4.319 ]sampleid: 000000022479.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 4.471 ]sampleid: 000000022589.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 4.688 ]sampleid: 000000022623.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 4.834 ]sampleid: 000000022705.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 5.150 ]sampleid: 000000022755.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 5.294 ]sampleid: 000000022892.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 5.541 ]sampleid: 000000022935.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 5.786 ]sampleid: 000000022969.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 6. 34 ]sampleid: 000000023023.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 6.218 ]sampleid: 000000023034.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 6.463 ]sampleid: 000000023126.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 6.719 ]sampleid: 000000023230.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 6.909 ]sampleid: 000000023272.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 7.105 ]sampleid: 000000023359.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 7.353 ]sampleid: 000000023666.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 7.549 ]sampleid: 000000023751.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 7.763 ]sampleid: 000000023781.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 7.979 ]sampleid: 000000023899.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 8.158 ]sampleid: 000000023937.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 8.290 ]sampleid: 000000024021.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 8.533 ]sampleid: 000000024027.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 8.786 ]sampleid: 000000024144.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 9. 36 ]sampleid: 000000024243.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 9.213 ]sampleid: 000000024567.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 9.380 ]sampleid: 000000024610.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 9.547 ]sampleid: 000000024919.jpg, result=true
[ AI-Rank-Log  1/31 21: 0: 9.796 ]sampleid: 000000025057.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:10. 41 ]sampleid: 000000025096.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:10.287 ]sampleid: 000000025139.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:10.433 ]sampleid: 000000025181.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:10.633 ]sampleid: 000000025228.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:10.847 ]sampleid: 000000025386.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:10.994 ]sampleid: 000000025393.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:11.244 ]sampleid: 000000025394.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:11.491 ]sampleid: 000000025424.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:11.693 ]sampleid: 000000025560.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:11.895 ]sampleid: 000000025593.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:12.153 ]sampleid: 000000025603.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:12.404 ]sampleid: 000000025986.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:12.658 ]sampleid: 000000026204.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:12.905 ]sampleid: 000000026465.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:13. 64 ]sampleid: 000000026564.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:13.317 ]sampleid: 000000026690.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:13.569 ]sampleid: 000000026926.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:13.823 ]sampleid: 000000026941.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:14. 74 ]sampleid: 000000027186.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:14.329 ]sampleid: 000000027620.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:14.583 ]sampleid: 000000027696.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:14.846 ]sampleid: 000000027768.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:15. 94 ]sampleid: 000000027932.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:15.355 ]sampleid: 000000027972.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:15.585 ]sampleid: 000000027982.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:15.805 ]sampleid: 000000028285.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:16. 63 ]sampleid: 000000028449.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:16.324 ]sampleid: 000000028452.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:16.580 ]sampleid: 000000028809.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:16.841 ]sampleid: 000000028993.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:17.103 ]sampleid: 000000029187.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:17.261 ]sampleid: 000000029393.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:17.522 ]sampleid: 000000029397.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:17.779 ]sampleid: 000000029596.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:18. 39 ]sampleid: 000000029640.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:18.297 ]sampleid: 000000029675.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:18.556 ]sampleid: 000000029984.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:18.816 ]sampleid: 000000030213.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:19. 79 ]sampleid: 000000030494.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:19.322 ]sampleid: 000000030504.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:19.586 ]sampleid: 000000030675.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:19.846 ]sampleid: 000000030785.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:20.105 ]sampleid: 000000030828.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:20.364 ]sampleid: 000000031050.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:20.521 ]sampleid: 000000031093.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:20.786 ]sampleid: 000000031118.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:20.988 ]sampleid: 000000031217.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:21.255 ]sampleid: 000000031248.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:21.520 ]sampleid: 000000031269.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:21.783 ]sampleid: 000000031296.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:22. 47 ]sampleid: 000000031322.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:22.308 ]sampleid: 000000031620.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:22.573 ]sampleid: 000000031735.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:22.838 ]sampleid: 000000031749.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:23. 69 ]sampleid: 000000031817.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:23.336 ]sampleid: 000000032038.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:23.600 ]sampleid: 000000032081.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:23.862 ]sampleid: 000000032285.jpg, result=true
[ AI-Rank-Log  1/31 21: 0:24.126 ]sampleid: 000000032334.jpg, result=true
