[ AI-Rank-Log  1/31 19:43:10.418 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  1/31 19:43:49.669 ]sampleid: 000000007511.jpg, result=true
[ AI-Rank-Log  1/31 19:43:49.859 ]sampleid: 000000007574.jpg, result=true
[ AI-Rank-Log  1/31 19:43:50. 45 ]sampleid: 000000007784.jpg, result=true
[ AI-Rank-Log  1/31 19:43:50.238 ]sampleid: 000000007795.jpg, result=true
[ AI-Rank-Log  1/31 19:43:50.429 ]sampleid: 000000007816.jpg, result=true
[ AI-Rank-Log  1/31 19:43:50.620 ]sampleid: 000000007818.jpg, result=true
[ AI-Rank-Log  1/31 19:43:50.808 ]sampleid: 000000007888.jpg, result=true
[ AI-Rank-Log  1/31 19:43:51.  6 ]sampleid: 000000007977.jpg, result=true
[ AI-Rank-Log  1/31 19:43:51.196 ]sampleid: 000000007991.jpg, result=true
[ AI-Rank-Log  1/31 19:43:51.390 ]sampleid: 000000008021.jpg, result=true
[ AI-Rank-Log  1/31 19:43:51.588 ]sampleid: 000000008211.jpg, result=true
[ AI-Rank-Log  1/31 19:43:51.788 ]sampleid: 000000008277.jpg, result=true
[ AI-Rank-Log  1/31 19:43:51.979 ]sampleid: 000000008532.jpg, result=true
[ AI-Rank-Log  1/31 19:43:52.178 ]sampleid: 000000008629.jpg, result=true
[ AI-Rank-Log  1/31 19:43:52.373 ]sampleid: 000000008690.jpg, result=true
[ AI-Rank-Log  1/31 19:43:52.564 ]sampleid: 000000008762.jpg, result=true
[ AI-Rank-Log  1/31 19:43:52.755 ]sampleid: 000000008844.jpg, result=true
[ AI-Rank-Log  1/31 19:43:52.958 ]sampleid: 000000008899.jpg, result=true
[ AI-Rank-Log  1/31 19:43:53.148 ]sampleid: 000000009378.jpg, result=true
[ AI-Rank-Log  1/31 19:43:53.344 ]sampleid: 000000009400.jpg, result=true
[ AI-Rank-Log  1/31 19:43:53.544 ]sampleid: 000000009448.jpg, result=true
[ AI-Rank-Log  1/31 19:43:53.743 ]sampleid: 000000009483.jpg, result=true
[ AI-Rank-Log  1/31 19:43:53.935 ]sampleid: 000000009590.jpg, result=true
[ AI-Rank-Log  1/31 19:43:54.137 ]sampleid: 000000009769.jpg, result=true
[ AI-Rank-Log  1/31 19:43:54.336 ]sampleid: 000000009772.jpg, result=true
[ AI-Rank-Log  1/31 19:43:54.529 ]sampleid: 000000009891.jpg, result=true
[ AI-Rank-Log  1/31 19:43:54.721 ]sampleid: 000000009914.jpg, result=true
[ AI-Rank-Log  1/31 19:43:54.916 ]sampleid: 000000010092.jpg, result=true
[ AI-Rank-Log  1/31 19:43:55.106 ]sampleid: 000000010363.jpg, result=true
[ AI-Rank-Log  1/31 19:43:55.306 ]sampleid: 000000010583.jpg, result=true
[ AI-Rank-Log  1/31 19:43:55.503 ]sampleid: 000000010707.jpg, result=true
[ AI-Rank-Log  1/31 19:43:55.700 ]sampleid: 000000010764.jpg, result=true
[ AI-Rank-Log  1/31 19:43:55.889 ]sampleid: 000000010977.jpg, result=true
[ AI-Rank-Log  1/31 19:43:56. 85 ]sampleid: 000000010995.jpg, result=true
[ AI-Rank-Log  1/31 19:43:56.283 ]sampleid: 000000011051.jpg, result=true
[ AI-Rank-Log  1/31 19:43:56.483 ]sampleid: 000000011122.jpg, result=true
[ AI-Rank-Log  1/31 19:43:56.677 ]sampleid: 000000011149.jpg, result=true
[ AI-Rank-Log  1/31 19:43:56.877 ]sampleid: 000000011197.jpg, result=true
[ AI-Rank-Log  1/31 19:43:57. 73 ]sampleid: 000000011511.jpg, result=true
[ AI-Rank-Log  1/31 19:43:57.271 ]sampleid: 000000011615.jpg, result=true
[ AI-Rank-Log  1/31 19:43:57.471 ]sampleid: 000000011699.jpg, result=true
[ AI-Rank-Log  1/31 19:43:57.672 ]sampleid: 000000011760.jpg, result=true
[ AI-Rank-Log  1/31 19:43:57.866 ]sampleid: 000000011813.jpg, result=true
[ AI-Rank-Log  1/31 19:43:58. 65 ]sampleid: 000000012062.jpg, result=true
[ AI-Rank-Log  1/31 19:43:58.262 ]sampleid: 000000012120.jpg, result=true
[ AI-Rank-Log  1/31 19:43:58.461 ]sampleid: 000000012280.jpg, result=true
[ AI-Rank-Log  1/31 19:43:58.664 ]sampleid: 000000012576.jpg, result=true
[ AI-Rank-Log  1/31 19:43:58.867 ]sampleid: 000000012639.jpg, result=true
[ AI-Rank-Log  1/31 19:43:59. 63 ]sampleid: 000000012667.jpg, result=true
[ AI-Rank-Log  1/31 19:43:59.263 ]sampleid: 000000012670.jpg, result=true
[ AI-Rank-Log  1/31 19:43:59.465 ]sampleid: 000000012748.jpg, result=true
[ AI-Rank-Log  1/31 19:43:59.662 ]sampleid: 000000013004.jpg, result=true
[ AI-Rank-Log  1/31 19:43:59.863 ]sampleid: 000000013177.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 0. 66 ]sampleid: 000000013201.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 0.262 ]sampleid: 000000013291.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 0.465 ]sampleid: 000000013348.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 0.665 ]sampleid: 000000013546.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 0.865 ]sampleid: 000000013597.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 1. 69 ]sampleid: 000000013659.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 1.274 ]sampleid: 000000013729.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 1.476 ]sampleid: 000000013774.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 1.679 ]sampleid: 000000013923.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 1.879 ]sampleid: 000000014007.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 2. 83 ]sampleid: 000000014038.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 2.283 ]sampleid: 000000014226.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 2.487 ]sampleid: 000000014380.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 2.692 ]sampleid: 000000014439.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 2.895 ]sampleid: 000000014473.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 3.105 ]sampleid: 000000014831.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 3.313 ]sampleid: 000000014888.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 3.519 ]sampleid: 000000015079.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 3.725 ]sampleid: 000000015254.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 3.938 ]sampleid: 000000015272.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 4.147 ]sampleid: 000000015278.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 4.354 ]sampleid: 000000015335.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 4.564 ]sampleid: 000000015338.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 4.774 ]sampleid: 000000015440.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 4.981 ]sampleid: 000000015497.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 5.194 ]sampleid: 000000015517.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 5.400 ]sampleid: 000000015597.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 5.613 ]sampleid: 000000015660.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 5.828 ]sampleid: 000000015746.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 6. 37 ]sampleid: 000000015751.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 6.250 ]sampleid: 000000015956.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 6.465 ]sampleid: 000000016010.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 6.674 ]sampleid: 000000016228.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 6.881 ]sampleid: 000000016249.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 7. 85 ]sampleid: 000000016439.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 7.302 ]sampleid: 000000016451.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 7.511 ]sampleid: 000000016502.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 7.727 ]sampleid: 000000016598.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 7.933 ]sampleid: 000000016958.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 8.154 ]sampleid: 000000017029.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 8.362 ]sampleid: 000000017031.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 8.581 ]sampleid: 000000017115.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 8.798 ]sampleid: 000000017178.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 9.  4 ]sampleid: 000000017182.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 9.218 ]sampleid: 000000017207.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 9.432 ]sampleid: 000000017379.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 9.649 ]sampleid: 000000017436.jpg, result=true
[ AI-Rank-Log  1/31 19:44: 9.863 ]sampleid: 000000017627.jpg, result=true
[ AI-Rank-Log  1/31 19:44:10. 77 ]sampleid: 000000017714.jpg, result=true
[ AI-Rank-Log  1/31 19:44:10.301 ]sampleid: 000000017899.jpg, result=true
[ AI-Rank-Log  1/31 19:44:10.518 ]sampleid: 000000017905.jpg, result=true
[ AI-Rank-Log  1/31 19:44:10.738 ]sampleid: 000000017959.jpg, result=true
[ AI-Rank-Log  1/31 19:44:10.957 ]sampleid: 000000018150.jpg, result=true
[ AI-Rank-Log  1/31 19:44:11.168 ]sampleid: 000000018193.jpg, result=true
[ AI-Rank-Log  1/31 19:44:11.396 ]sampleid: 000000018380.jpg, result=true
[ AI-Rank-Log  1/31 19:44:11.608 ]sampleid: 000000018491.jpg, result=true
[ AI-Rank-Log  1/31 19:44:11.832 ]sampleid: 000000018519.jpg, result=true
[ AI-Rank-Log  1/31 19:44:12. 51 ]sampleid: 000000018575.jpg, result=true
[ AI-Rank-Log  1/31 19:44:12.265 ]sampleid: 000000018737.jpg, result=true
[ AI-Rank-Log  1/31 19:44:12.477 ]sampleid: 000000018770.jpg, result=true
[ AI-Rank-Log  1/31 19:44:12.693 ]sampleid: 000000018833.jpg, result=true
[ AI-Rank-Log  1/31 19:44:12.918 ]sampleid: 000000018837.jpg, result=true
[ AI-Rank-Log  1/31 19:44:13.142 ]sampleid: 000000019042.jpg, result=true
[ AI-Rank-Log  1/31 19:44:13.369 ]sampleid: 000000019109.jpg, result=true
[ AI-Rank-Log  1/31 19:44:13.588 ]sampleid: 000000019221.jpg, result=true
[ AI-Rank-Log  1/31 19:44:13.805 ]sampleid: 000000019402.jpg, result=true
[ AI-Rank-Log  1/31 19:44:14. 27 ]sampleid: 000000019432.jpg, result=true
[ AI-Rank-Log  1/31 19:44:14.245 ]sampleid: 000000019742.jpg, result=true
[ AI-Rank-Log  1/31 19:44:14.458 ]sampleid: 000000019786.jpg, result=true
[ AI-Rank-Log  1/31 19:44:14.676 ]sampleid: 000000019924.jpg, result=true
[ AI-Rank-Log  1/31 19:44:14.898 ]sampleid: 000000020059.jpg, result=true
[ AI-Rank-Log  1/31 19:44:15.115 ]sampleid: 000000020107.jpg, result=true
[ AI-Rank-Log  1/31 19:44:15.341 ]sampleid: 000000020247.jpg, result=true
[ AI-Rank-Log  1/31 19:44:15.564 ]sampleid: 000000020333.jpg, result=true
[ AI-Rank-Log  1/31 19:44:15.784 ]sampleid: 000000020553.jpg, result=true
[ AI-Rank-Log  1/31 19:44:16. 10 ]sampleid: 000000020571.jpg, result=true
[ AI-Rank-Log  1/31 19:44:16.230 ]sampleid: 000000020992.jpg, result=true
[ AI-Rank-Log  1/31 19:44:16.449 ]sampleid: 000000021167.jpg, result=true
[ AI-Rank-Log  1/31 19:44:16.669 ]sampleid: 000000021465.jpg, result=true
[ AI-Rank-Log  1/31 19:44:16.893 ]sampleid: 000000021503.jpg, result=true
[ AI-Rank-Log  1/31 19:44:17.118 ]sampleid: 000000021604.jpg, result=true
[ AI-Rank-Log  1/31 19:44:17.344 ]sampleid: 000000021839.jpg, result=true
[ AI-Rank-Log  1/31 19:44:17.569 ]sampleid: 000000021879.jpg, result=true
[ AI-Rank-Log  1/31 19:44:17.798 ]sampleid: 000000021903.jpg, result=true
[ AI-Rank-Log  1/31 19:44:18. 18 ]sampleid: 000000022192.jpg, result=true
[ AI-Rank-Log  1/31 19:44:18.235 ]sampleid: 000000022371.jpg, result=true
[ AI-Rank-Log  1/31 19:44:18.464 ]sampleid: 000000022396.jpg, result=true
[ AI-Rank-Log  1/31 19:44:18.688 ]sampleid: 000000022479.jpg, result=true
[ AI-Rank-Log  1/31 19:44:18.917 ]sampleid: 000000022589.jpg, result=true
[ AI-Rank-Log  1/31 19:44:19.144 ]sampleid: 000000022623.jpg, result=true
[ AI-Rank-Log  1/31 19:44:19.369 ]sampleid: 000000022705.jpg, result=true
[ AI-Rank-Log  1/31 19:44:19.594 ]sampleid: 000000022755.jpg, result=true
[ AI-Rank-Log  1/31 19:44:19.814 ]sampleid: 000000022892.jpg, result=true
[ AI-Rank-Log  1/31 19:44:20. 40 ]sampleid: 000000022935.jpg, result=true
[ AI-Rank-Log  1/31 19:44:20.273 ]sampleid: 000000022969.jpg, result=true
[ AI-Rank-Log  1/31 19:44:20.502 ]sampleid: 000000023023.jpg, result=true
[ AI-Rank-Log  1/31 19:44:20.728 ]sampleid: 000000023034.jpg, result=true
[ AI-Rank-Log  1/31 19:44:20.953 ]sampleid: 000000023126.jpg, result=true
[ AI-Rank-Log  1/31 19:44:21.191 ]sampleid: 000000023230.jpg, result=true
[ AI-Rank-Log  1/31 19:44:21.411 ]sampleid: 000000023272.jpg, result=true
[ AI-Rank-Log  1/31 19:44:21.641 ]sampleid: 000000023359.jpg, result=true
[ AI-Rank-Log  1/31 19:44:21.872 ]sampleid: 000000023666.jpg, result=true
[ AI-Rank-Log  1/31 19:44:22.100 ]sampleid: 000000023751.jpg, result=true
[ AI-Rank-Log  1/31 19:44:22.324 ]sampleid: 000000023781.jpg, result=true
[ AI-Rank-Log  1/31 19:44:22.551 ]sampleid: 000000023899.jpg, result=true
[ AI-Rank-Log  1/31 19:44:22.785 ]sampleid: 000000023937.jpg, result=true
[ AI-Rank-Log  1/31 19:44:23.  9 ]sampleid: 000000024021.jpg, result=true
[ AI-Rank-Log  1/31 19:44:23.233 ]sampleid: 000000024027.jpg, result=true
[ AI-Rank-Log  1/31 19:44:23.468 ]sampleid: 000000024144.jpg, result=true
[ AI-Rank-Log  1/31 19:44:23.697 ]sampleid: 000000024243.jpg, result=true
[ AI-Rank-Log  1/31 19:44:23.928 ]sampleid: 000000024567.jpg, result=true
[ AI-Rank-Log  1/31 19:44:24.155 ]sampleid: 000000024610.jpg, result=true
[ AI-Rank-Log  1/31 19:44:24.387 ]sampleid: 000000024919.jpg, result=true
[ AI-Rank-Log  1/31 19:44:24.618 ]sampleid: 000000025057.jpg, result=true
[ AI-Rank-Log  1/31 19:44:24.845 ]sampleid: 000000025096.jpg, result=true
[ AI-Rank-Log  1/31 19:44:25. 73 ]sampleid: 000000025139.jpg, result=true
[ AI-Rank-Log  1/31 19:44:25.303 ]sampleid: 000000025181.jpg, result=true
[ AI-Rank-Log  1/31 19:44:25.532 ]sampleid: 000000025228.jpg, result=true
[ AI-Rank-Log  1/31 19:44:25.767 ]sampleid: 000000025386.jpg, result=true
[ AI-Rank-Log  1/31 19:44:25.996 ]sampleid: 000000025393.jpg, result=true
[ AI-Rank-Log  1/31 19:44:26.228 ]sampleid: 000000025394.jpg, result=true
[ AI-Rank-Log  1/31 19:44:26.461 ]sampleid: 000000025424.jpg, result=true
[ AI-Rank-Log  1/31 19:44:26.696 ]sampleid: 000000025560.jpg, result=true
[ AI-Rank-Log  1/31 19:44:26.932 ]sampleid: 000000025593.jpg, result=true
[ AI-Rank-Log  1/31 19:44:27.168 ]sampleid: 000000025603.jpg, result=true
[ AI-Rank-Log  1/31 19:44:27.403 ]sampleid: 000000025986.jpg, result=true
[ AI-Rank-Log  1/31 19:44:27.644 ]sampleid: 000000026204.jpg, result=true
[ AI-Rank-Log  1/31 19:44:27.872 ]sampleid: 000000026465.jpg, result=true
[ AI-Rank-Log  1/31 19:44:28.101 ]sampleid: 000000026564.jpg, result=true
[ AI-Rank-Log  1/31 19:44:28.336 ]sampleid: 000000026690.jpg, result=true
[ AI-Rank-Log  1/31 19:44:28.570 ]sampleid: 000000026926.jpg, result=true
[ AI-Rank-Log  1/31 19:44:28.803 ]sampleid: 000000026941.jpg, result=true
[ AI-Rank-Log  1/31 19:44:29. 34 ]sampleid: 000000027186.jpg, result=true
[ AI-Rank-Log  1/31 19:44:29.271 ]sampleid: 000000027620.jpg, result=true
[ AI-Rank-Log  1/31 19:44:29.505 ]sampleid: 000000027696.jpg, result=true
[ AI-Rank-Log  1/31 19:44:29.747 ]sampleid: 000000027768.jpg, result=true
[ AI-Rank-Log  1/31 19:44:29.984 ]sampleid: 000000027932.jpg, result=true
[ AI-Rank-Log  1/31 19:44:30.217 ]sampleid: 000000027972.jpg, result=true
[ AI-Rank-Log  1/31 19:44:30.455 ]sampleid: 000000027982.jpg, result=true
[ AI-Rank-Log  1/31 19:44:30.691 ]sampleid: 000000028285.jpg, result=true
[ AI-Rank-Log  1/31 19:44:30.930 ]sampleid: 000000028449.jpg, result=true
[ AI-Rank-Log  1/31 19:44:31.172 ]sampleid: 000000028452.jpg, result=true
[ AI-Rank-Log  1/31 19:44:31.412 ]sampleid: 000000028809.jpg, result=true
[ AI-Rank-Log  1/31 19:44:31.652 ]sampleid: 000000028993.jpg, result=true
[ AI-Rank-Log  1/31 19:44:31.891 ]sampleid: 000000029187.jpg, result=true
[ AI-Rank-Log  1/31 19:44:32.127 ]sampleid: 000000029393.jpg, result=true
[ AI-Rank-Log  1/31 19:44:32.367 ]sampleid: 000000029397.jpg, result=true
[ AI-Rank-Log  1/31 19:44:32.605 ]sampleid: 000000029596.jpg, result=true
[ AI-Rank-Log  1/31 19:44:32.847 ]sampleid: 000000029640.jpg, result=true
[ AI-Rank-Log  1/31 19:44:33. 87 ]sampleid: 000000029675.jpg, result=true
[ AI-Rank-Log  1/31 19:44:33.331 ]sampleid: 000000029984.jpg, result=true
[ AI-Rank-Log  1/31 19:44:33.577 ]sampleid: 000000030213.jpg, result=true
[ AI-Rank-Log  1/31 19:44:33.820 ]sampleid: 000000030494.jpg, result=true
[ AI-Rank-Log  1/31 19:44:34. 66 ]sampleid: 000000030504.jpg, result=true
[ AI-Rank-Log  1/31 19:44:34.305 ]sampleid: 000000030675.jpg, result=true
[ AI-Rank-Log  1/31 19:44:34.546 ]sampleid: 000000030785.jpg, result=true
[ AI-Rank-Log  1/31 19:44:34.795 ]sampleid: 000000030828.jpg, result=true
[ AI-Rank-Log  1/31 19:44:35. 36 ]sampleid: 000000031050.jpg, result=true
[ AI-Rank-Log  1/31 19:44:35.281 ]sampleid: 000000031093.jpg, result=true
[ AI-Rank-Log  1/31 19:44:35.526 ]sampleid: 000000031118.jpg, result=true
[ AI-Rank-Log  1/31 19:44:35.769 ]sampleid: 000000031217.jpg, result=true
[ AI-Rank-Log  1/31 19:44:36. 12 ]sampleid: 000000031248.jpg, result=true
[ AI-Rank-Log  1/31 19:44:36.261 ]sampleid: 000000031269.jpg, result=true
[ AI-Rank-Log  1/31 19:44:36.510 ]sampleid: 000000031296.jpg, result=true
[ AI-Rank-Log  1/31 19:44:36.760 ]sampleid: 000000031322.jpg, result=true
[ AI-Rank-Log  1/31 19:44:37.  1 ]sampleid: 000000031620.jpg, result=true
[ AI-Rank-Log  1/31 19:44:37.249 ]sampleid: 000000031735.jpg, result=true
[ AI-Rank-Log  1/31 19:44:37.498 ]sampleid: 000000031749.jpg, result=true
[ AI-Rank-Log  1/31 19:44:37.743 ]sampleid: 000000031817.jpg, result=true
[ AI-Rank-Log  1/31 19:44:37.988 ]sampleid: 000000032038.jpg, result=true
[ AI-Rank-Log  1/31 19:44:38.231 ]sampleid: 000000032081.jpg, result=true
[ AI-Rank-Log  1/31 19:44:38.475 ]sampleid: 000000032285.jpg, result=true
[ AI-Rank-Log  1/31 19:44:38.724 ]sampleid: 000000032334.jpg, result=true
[ AI-Rank-Log  1/31 19:44:38.977 ]sampleid: 000000032570.jpg, result=true
[ AI-Rank-Log  1/31 19:44:39.217 ]sampleid: 000000032610.jpg, result=true
[ AI-Rank-Log  1/31 19:44:39.465 ]sampleid: 000000032735.jpg, result=true
[ AI-Rank-Log  1/31 19:44:39.708 ]sampleid: 000000032811.jpg, result=true
[ AI-Rank-Log  1/31 19:44:39.957 ]sampleid: 000000032817.jpg, result=true
